TEAM,Season,W,Perc_3PA,Perc_2PA,Perc_AST,Perc_STL,PFminusPFD,OPP_Perc_3PA,OPP_Perc_2PA,OPP_Perc_AST,OPP_Perc_STL,L1_N_Awards_Won,L1_Coach_RS_W_Perc_Overall,L1_Coach_P_W_Perc,AVG_PLAYER_AGE,Coach,Coach_N_Seasons_Overall,Coach_Perc_Seasons_TEAM
Sacramento Kings,2012,28,0.24348203939745075,0.7565179606025493,0.5534672715489306,0.5554635761589404,81,0.25794173620260574,0.7420582637973943,0.638733705772812,0.5204336947456214,0.0,0.359,,25.642857142857142,Keith Smart,4,0.5
Sacramento Kings,2013,28,0.2180017735737511,0.7819982264262489,0.5112359550561798,0.5259856630824373,-48,0.2722007722007722,0.7277992277992278,0.6210119239445697,0.5100080064051241,0.0,0.354,,25.75,Michael Malone,1,1.0
Sacramento Kings,2014,29,0.20401994861719813,0.7959800513828019,0.5538205980066445,0.5193578847969783,-262,0.28968142091908655,0.7103185790809134,0.5904879555281037,0.5341335333833458,0.0,0.341,,26.647058823529413,George Karl,26,0.038461538461538464
Sacramento Kings,2015,33,0.2596357475645913,0.7403642524354087,0.6119402985074627,0.5603975535168195,-124,0.3187378370864609,0.681262162913539,0.5969341749323716,0.5444947209653092,1.0,0.596,0.4324324324324324,26.866666666666667,George Karl,27,0.07407407407407407
Sacramento Kings,2016,32,0.2910602910602911,0.7089397089397089,0.5938808373590982,0.5475982532751091,21,0.3607854630715123,0.6392145369284877,0.615604186489058,0.5778517901748543,1.0,0.588,0.4324324324324324,26.5,Dave Joerger,4,0.25
Sacramento Kings,2017,27,0.27849355797819625,0.7215064420218038,0.5561497326203209,0.5472340425531915,217,0.38260097647581004,0.61739902352419,0.610324205225055,0.5653333333333334,0.0,0.546,0.4090909090909091,26.625,Dave Joerger,5,0.4
Sacramento Kings,2018,39,0.32146130679586227,0.6785386932041377,0.5882519062411748,0.5207055214723927,-2,0.38183041722745625,0.6181695827725437,0.5841269841269842,0.5643835616438356,0.0,0.502,0.4090909090909091,25.470588235294116,Dave Joerger,6,0.5
Sacramento Kings,2019,31,0.39456316781898176,0.6054368321810182,0.582059123343527,0.5082266910420475,191,0.4069503085417343,0.5930496914582657,0.6180124223602484,0.5340364333652924,0.0,0.498,0.4090909090909091,26.0,Luke Walton,4,0.25
Sacramento Kings,2020,31,0.3760576621748668,0.6239423378251332,0.5986305836322139,0.5495951417004049,52,0.36486486486486486,0.6351351351351351,0.5807582032494425,0.5659397715472482,0.0,0.406,,24.94736842105263,Luke Walton,5,0.4
Sacramento Kings,2021,30,0.3768517236605289,0.6231482763394711,0.5850647395362842,0.5316455696202531,-113,0.38551622021806436,0.6144837797819357,0.5832631283347375,0.5778546712802768,0.0,0.41,,26.05,Alvin Gentry,18,0.05555555555555555
Sacramento Kings,2022,48,0.4231194690265487,0.5768805309734514,0.6260845228099636,0.49312714776632305,-95,0.37596048298573,0.6240395170142701,0.6093619392588465,0.5406871609403255,0.0,0.456,0.5666666666666667,26.1,Mike Brown,9,0.1111111111111111
San Antonio Spurs,1996,20,0.18463464246596778,0.8153653575340323,0.5875486381322957,0.5474576271186441,1751,0.22338924596331713,0.7766107540366829,0.6512325116588941,0.5349959774738536,,,,29.4375,Gregg Popovich,1,1.0
San Antonio Spurs,1997,56,0.13948601907224825,0.8605139809277518,0.634575569358178,0.4937799043062201,1718,0.15459735576923078,0.8454026442307693,0.5685056631348191,0.5538694992412747,0.0,0.266,,29.357142857142858,Gregg Popovich,2,1.0
San Antonio Spurs,1998,37,0.13667366211962226,0.8633263378803777,0.6327586206896552,0.5767123287671233,1004,0.13765082491997044,0.8623491750800295,0.5769466584917229,0.5757575757575758,2.0,0.5,0.4444444444444444,30.071428571428573,Gregg Popovich,3,1.0
San Antonio Spurs,1999,53,0.1379633974659784,0.8620366025340216,0.6161924119241192,0.5198983911939035,1553,0.1527798259843681,0.8472201740156319,0.5780166435506241,0.5231143552311436,1.0,0.561,0.7307692307692307,30.857142857142858,Gregg Popovich,4,1.0
San Antonio Spurs,2000,58,0.17470456723091665,0.8252954327690833,0.616504854368932,0.5130984643179766,1548,0.15406203840472674,0.8459379615952732,0.5699682763482552,0.5240174672489083,2.0,0.586,0.6666666666666666,30.133333333333333,Gregg Popovich,5,1.0
San Antonio Spurs,2001,58,0.19031903190319033,0.8096809680968097,0.5640233436319945,0.5243288590604027,1567,0.16354243542435423,0.8364575645756458,0.5352063822407215,0.538135593220339,2.0,0.614,0.627906976744186,29.466666666666665,Gregg Popovich,6,1.0
San Antonio Spurs,2002,60,0.20168334127362236,0.7983166587263777,0.562585969738652,0.5109666937449229,1668,0.15560196926749217,0.8443980307325079,0.5447239692522712,0.5135135135135135,1.0,0.631,0.5849056603773585,30.307692307692307,Gregg Popovich,7,1.0
San Antonio Spurs,2003,57,0.1771837115324837,0.8228162884675163,0.58972554539057,0.5271132376395534,1665,0.14887288666249218,0.8511271133375078,0.5430539609644087,0.5278470490440565,1.0,0.647,0.6103896103896104,28.58823529411765,Gregg Popovich,8,1.0
San Antonio Spurs,2004,59,0.21627906976744185,0.7837209302325582,0.6055422511118713,0.49435483870967745,1713,0.13854379619437018,0.8614562038056298,0.5106932153392331,0.5275310834813499,1.0,0.653,0.6091954022988506,28.6875,Gregg Popovich,9,1.0
San Antonio Spurs,2005,63,0.21475875118259224,0.7852412488174078,0.5736719011025727,0.4779929577464789,25,0.13800623052959501,0.861993769470405,0.4802300503235083,0.5319715808170515,1.0,0.661,0.6272727272727273,29.8,Gregg Popovich,10,1.0
San Antonio Spurs,2006,58,0.24668141592920353,0.7533185840707964,0.60486828942981,0.4991496598639456,-151,0.1703543246170509,0.8296456753829491,0.4951048951048951,0.5101143359718557,1.0,0.673,0.6178861788617886,29.8,Gregg Popovich,11,1.0
San Antonio Spurs,2007,56,0.25062266500622665,0.7493773349937733,0.5847515316541865,0.4924385633270321,-88,0.1907945887109314,0.8092054112890685,0.5215260763038152,0.5468599033816425,1.0,0.676,0.6433566433566433,30.647058823529413,Gregg Popovich,12,1.0
San Antonio Spurs,2008,54,0.24793388429752067,0.7520661157024794,0.5706771860618014,0.49323621227887615,35,0.17965895249695493,0.820341047503045,0.49815001681802895,0.5514018691588785,2.0,0.677,0.63125,29.526315789473685,Gregg Popovich,13,1.0
San Antonio Spurs,2009,50,0.23231716473945035,0.7676828352605496,0.5806349206349206,0.5,-3,0.17934538932894933,0.8206546106710506,0.5209917355371901,0.5080645161290323,2.0,0.675,0.6181818181818182,28.0,Gregg Popovich,14,1.0
San Antonio Spurs,2010,61,0.2605612552806276,0.7394387447193723,0.5832274459974587,0.5497716894977169,-145,0.1902332361516035,0.8097667638483965,0.5388551327150624,0.5149863760217984,1.0,0.67,0.6057142857142858,28.6875,Gregg Popovich,15,1.0
San Antonio Spurs,2011,50,0.2571846970529013,0.7428153029470986,0.5852163921869016,0.5408388520971302,-101,0.20971223021582733,0.7902877697841727,0.5139331210191083,0.5463687150837989,1.0,0.675,0.5966850828729282,27.36842105263158,Gregg Popovich,16,1.0
