TEAM,GP,W,L,MIN,"%FGA
2PT","%FGA
3PT","%PTS
2PT","%PTS
2PT- MR","%PTS
3PT","%PTS
FBPS","%PTS
FT","%PTS
OFFTO","%PTS
PITP","2FGM
%AST","2FGM
%UAST","3FGM
%AST","3FGM
%UAST","FGM
%AST","FGM
%UAST",Season
Orlando Magic,73,33,40,48.1,63.6,36.4,52.7,10.4,30.9,11.1,16.4,15.9,42.3,51.1,48.9,85.9,14.1,60.8,39.2,2019
San Antonio Spurs,71,32,39,48.5,68.2,31.8,55.2,17.0,28.2,11.7,16.6,13.8,38.2,48.1,51.9,88.8,11.2,58.5,41.5,2019
Sacramento Kings,72,31,41,48.5,60.5,39.5,51.2,8.5,34.6,11.6,14.2,15.8,42.7,47.1,52.9,82.8,17.2,58.2,41.8,2019
New Orleans Pelicans,72,30,42,48.4,59.7,40.3,49.9,6.9,35.3,14.3,14.7,14.4,43.0,51.6,48.4,87.4,12.6,63.0,37.0,2019
Washington Wizards,72,25,47,48.2,64.2,35.8,51.6,11.7,31.5,11.7,16.9,16.2,39.9,50.9,49.1,83.2,16.8,60.2,39.8,2019
Charlotte Hornets,65,23,42,48.5,60.1,39.9,49.1,3.9,35.2,11.3,15.7,15.7,45.2,56.0,44.0,80.3,19.7,63.9,36.1,2019
Chicago Bulls,65,22,43,48.2,60.4,39.6,51.3,5.0,34.3,13.9,14.5,19.8,46.3,48.7,51.3,81.2,18.8,58.7,41.3,2019
New York Knicks,66,21,45,48.4,68.2,31.8,57.5,11.5,27.1,8.9,15.4,14.9,45.9,45.1,54.9,87.2,12.8,55.2,44.8,2019
Atlanta Hawks,67,20,47,48.6,60.2,39.8,51.2,6.1,32.3,11.5,16.5,15.0,45.1,52.5,47.5,74.3,25.7,58.9,41.1,2019
Detroit Pistons,66,20,46,48.4,61.9,38.1,51.0,6.0,33.5,10.2,15.5,14.8,45.0,49.9,50.1,87.1,12.9,61.2,38.8,2019
Cleveland Cavaliers,65,19,46,48.4,63.8,36.2,54.5,8.4,31.4,9.9,14.1,13.4,46.1,47.2,52.8,83.5,16.5,57.3,42.7,2019
Minnesota Timberwolves,64,19,45,48.6,56.7,43.3,47.8,4.4,35.3,9.9,16.9,14.7,43.4,49.0,51.0,79.1,20.9,59.0,41.0,2019
Golden State Warriors,65,15,50,48.4,64.5,35.5,53.0,11.8,29.4,12.9,17.6,16.0,41.2,59.7,40.3,84.1,15.9,66.3,33.7,2019
Milwaukee Bucks,82,60,22,48.2,58.1,41.9,50.6,5.5,34.2,15.0,15.2,14.1,45.1,50.0,50.0,82.5,17.5,60.1,39.9,2018
Toronto Raptors,82,58,24,48.5,62.1,37.9,52.1,9.7,32.4,16.0,15.4,15.1,42.4,49.9,50.1,85.2,14.8,60.3,39.7,2018
Golden State Warriors,82,57,25,48.3,61.6,38.4,52.3,15.6,33.8,16.2,13.9,13.8,36.7,61.0,39.0,80.3,19.7,66.8,33.2,2018
Denver Nuggets,82,54,28,48.1,65.2,34.8,55.9,8.8,29.9,11.4,14.3,14.2,47.1,57.1,42.9,88.3,11.7,65.3,34.7,2018
Houston Rockets,82,53,29,48.4,48.1,51.9,40.6,3.6,42.5,10.6,16.9,15.8,37.0,48.2,51.8,62.6,37.4,54.1,45.9,2018
Portland Trail Blazers,82,53,29,48.4,66.1,33.9,54.6,11.6,28.8,9.6,16.6,13.1,43.0,47.2,52.8,74.9,25.1,54.4,45.6,2018
Philadelphia 76ers,82,51,31,48.3,65.8,34.2,53.3,10.4,28.2,13.0,18.4,13.3,42.9,54.6,45.4,93.7,6.3,64.8,35.2,2018
Utah Jazz,82,50,32,48.2,60.6,39.4,50.7,6.1,32.5,9.5,16.8,14.7,44.6,55.6,44.4,84.8,15.2,64.4,35.6,2018
Boston Celtics,82,49,33,48.2,61.9,38.1,52.5,12.7,33.6,14.5,13.9,16.1,39.8,52.7,47.3,85.4,14.6,62.4,37.6,2018
Oklahoma City Thunder,82,49,33,48.4,65.3,34.7,54.7,9.4,29.8,15.9,15.6,16.8,45.3,45.1,54.9,81.4,18.6,54.8,45.2,2018
Indiana Pacers,82,48,34,48.1,70.8,29.2,59.0,13.7,26.4,13.5,14.7,17.6,45.2,55.7,44.3,86.4,13.6,62.8,37.2,2018
