TEAM,GP,W,L,MIN,"%FGA
2PT","%FGA
3PT","%PTS
2PT","%PTS
2PT- MR","%PTS
3PT","%PTS
FBPS","%PTS
FT","%PTS
OFFTO","%PTS
PITP","2FGM
%AST","2FGM
%UAST","3FGM
%AST","3FGM
%UAST","FGM
%AST","FGM
%UAST",Season
Toronto Raptors,82,41,41,48.4,78.3,21.7,62.7,28.5,20.9,7.9,16.4,16.6,34.2,54.9,45.1,94.4,5.6,62.0,38.0,2007
Philadelphia 76ers,82,40,42,48.2,85.7,14.3,69.5,22.9,11.4,18.9,19.0,18.7,46.6,51.6,48.4,83.1,16.9,54.7,45.3,2007
Sacramento Kings,82,38,44,48.4,79.2,20.8,60.3,20.7,18.2,12.5,21.6,17.3,39.6,45.1,54.9,83.3,16.7,51.5,48.5,2007
Atlanta Hawks,82,37,45,48.4,83.5,16.5,64.3,20.5,14.3,17.1,21.4,16.1,43.8,57.2,42.8,83.6,16.4,60.6,39.4,2007
Indiana Pacers,82,36,46,48.2,71.1,28.9,55.0,19.4,26.6,12.8,18.4,16.3,35.6,49.6,50.4,92.7,7.3,60.1,39.9,2007
New Jersey Nets,82,34,48,48.4,77.8,22.2,60.0,21.7,19.0,13.6,21.0,15.1,38.3,63.2,36.8,87.3,12.7,67.4,32.6,2007
Chicago Bulls,82,33,49,48.3,81.0,19.0,63.0,26.3,17.8,11.5,19.2,16.6,36.7,55.6,44.4,87.3,12.7,60.6,39.4,2007
Charlotte Bobcats,82,32,50,48.5,78.0,22.0,61.1,19.6,19.9,12.6,19.0,16.5,41.5,52.6,47.4,88.8,11.2,59.1,40.9,2007
Milwaukee Bucks,82,26,56,48.4,80.5,19.5,64.7,22.0,17.0,10.5,18.3,15.2,42.7,53.5,46.5,84.7,15.3,58.2,41.8,2007
Los Angeles Clippers,82,23,59,48.3,83.3,16.7,64.2,27.3,13.7,9.3,22.1,16.0,36.9,57.1,42.9,91.7,8.3,61.4,38.6,2007
New York Knicks,82,23,59,48.5,78.5,21.5,62.3,19.1,18.5,9.6,19.2,14.1,43.3,46.1,53.9,79.2,20.8,51.6,48.4,2007
Memphis Grizzlies,82,22,60,48.3,73.6,26.4,59.1,15.4,22.5,14.9,18.4,15.2,43.7,42.0,58.0,88.7,11.3,51.4,48.6,2007
Minnesota Timberwolves,82,22,60,48.1,81.5,18.5,67.2,22.0,16.9,9.2,15.9,14.9,45.2,47.4,52.6,86.2,13.8,53.0,47.0,2007
Seattle SuperSonics,82,20,62,48.4,86.6,13.4,70.3,28.2,11.7,16.2,18.0,13.9,42.1,52.7,47.3,85.0,15.0,55.9,44.1,2007
Miami Heat,82,15,67,48.4,78.3,21.7,61.9,25.4,19.7,10.6,18.5,16.7,36.5,53.4,46.6,82.9,17.1,58.5,41.5,2007
Dallas Mavericks,82,67,15,48.2,78.2,21.8,60.4,25.0,19.6,13.4,20.1,17.0,35.3,46.9,53.1,88.0,12.0,54.2,45.8,2006
Phoenix Suns,82,61,21,48.5,71.3,28.7,57.6,17.9,26.1,15.4,16.3,15.8,39.7,55.7,44.3,85.6,14.4,62.6,37.4,2006
San Antonio Spurs,82,58,24,48.2,75.3,24.7,59.5,19.1,22.1,11.8,18.4,17.1,40.5,52.3,47.7,93.4,6.6,60.5,39.5,2006
Detroit Pistons,82,53,29,48.5,79.9,20.1,63.3,26.6,17.1,11.1,19.6,17.5,36.8,56.1,43.9,82.2,17.8,60.1,39.9,2006
Houston Rockets,82,52,30,48.4,71.0,29.0,55.4,19.0,26.6,7.6,18.1,15.7,36.4,51.8,48.2,80.0,20.0,58.6,41.4,2006
Utah Jazz,82,51,31,48.3,83.7,16.3,65.2,22.7,12.8,9.2,22.0,16.1,42.5,63.2,36.8,86.7,13.3,65.9,34.1,2006
Cleveland Cavaliers,82,50,32,48.5,78.9,21.1,62.6,21.0,18.7,12.7,18.7,17.2,41.6,51.9,48.1,84.6,15.4,57.4,42.6,2006
Chicago Bulls,82,49,33,48.2,81.4,18.6,63.4,27.2,17.8,12.4,18.9,19.3,36.1,56.2,43.8,81.0,19.0,60.1,39.9,2006
Toronto Raptors,82,47,35,48.2,77.6,22.4,61.3,25.8,19.5,12.6,19.1,16.8,35.5,53.6,46.4,90.6,9.4,60.1,39.9,2006
Denver Nuggets,82,45,37,48.2,78.8,21.2,62.0,17.8,16.8,17.7,21.1,18.4,44.3,55.0,45.0,92.4,7.6,60.7,39.3,2006
Miami Heat,82,44,38,48.4,75.5,24.5,61.6,18.7,20.4,11.4,18.0,16.4,42.9,51.4,48.6,85.6,14.4,57.6,42.4,2006
Golden State Warriors,82,42,40,48.2,72.1,27.9,58.6,14.7,24.0,19.2,17.3,19.9,44.0,52.5,47.5,86.6,13.4,59.8,40.2,2006
Los Angeles Lakers,82,42,40,48.9,74.1,25.9,58.9,18.2,21.5,9.3,19.6,16.4,40.7,53.7,46.3,83.7,16.3,59.6,40.4,2006
New Jersey Nets,82,41,41,48.5,73.7,26.3,57.6,20.0,22.8,13.6,19.6,17.1,37.5,60.9,39.1,91.6,8.4,67.4,32.6,2006
Washington Wizards,82,41,41,48.4,76.3,23.7,58.6,21.4,19.7,14.7,21.7,18.2,37.3,48.7,51.3,78.1,21.9,54.1,45.9,2006
Los Angeles Clippers,82,40,42,48.1,85.7,14.3,65.4,26.9,12.0,8.2,22.6,16.1,38.6,57.2,42.8,93.3,6.7,61.2,38.8,2006
Orlando Magic,82,40,42,48.2,84.2,15.8,65.2,19.7,13.2,14.7,21.6,17.9,45.5,48.3,51.7,88.3,11.7,53.0,47.0,2006
New Orleans/Oklahoma City Hornets,82,39,43,48.5,81.2,18.8,64.2,20.5,17.4,12.9,18.3,15.8,43.8,45.6,54.4,85.5,14.5,51.7,48.3,2006
Indiana Pacers,82,35,47,48.2,78.8,21.2,61.0,22.6,18.4,12.2,20.6,17.9,38.4,52.2,47.8,89.8,10.2,58.5,41.5,2006
Philadelphia 76ers,82,35,47,48.5,87.2,12.8,68.0,26.0,10.9,14.7,21.0,17.8,42.0,53.5,46.5,88.7,11.3,56.9,43.1,2006
Charlotte Bobcats,82,33,49,48.8,80.7,19.3,63.0,22.6,17.3,9.9,19.7,17.1,40.4,56.5,43.5,92.1,7.9,62.0,38.0,2006
New York Knicks,82,33,49,48.8,78.4,21.6,60.8,14.4,17.8,9.6,21.4,15.4,46.4,47.5,52.5,79.7,20.3,52.8,47.2,2006
Sacramento Kings,82,33,49,48.3,76.8,23.2,58.1,20.1,19.1,11.5,22.8,18.4,38.0,50.2,49.8,85.8,14.2,56.6,43.4,2006
Minnesota Timberwolves,82,32,50,48.8,83.3,16.7,66.3,29.9,14.6,9.4,19.0,16.0,36.4,57.6,42.4,89.6,10.4,61.7,38.3,2006
Portland Trail Blazers,82,32,50,48.7,80.7,19.3,63.4,22.9,16.6,6.7,20.0,16.2,40.5,46.4,53.6,88.5,11.5,52.6,47.4,2006
Seattle SuperSonics,82,31,51,48.4,78.1,21.9,62.0,19.0,19.4,11.9,18.6,16.7,43.0,50.3,49.7,81.1,18.9,55.6,44.4,2006
Atlanta Hawks,82,30,52,48.5,83.7,16.3,64.8,23.6,13.3,12.6,21.8,17.4,41.3,51.8,48.2,83.3,16.7,55.6,44.4,2006
Milwaukee Bucks,82,28,54,48.4,78.1,21.9,63.6,18.1,19.2,13.1,17.2,17.6,45.4,51.2,48.8,84.4,15.6,56.7,43.3,2006
Boston Celtics,82,24,58,48.4,80.1,19.9,60.8,20.1,18.0,12.5,21.3,18.1,40.7,49.9,50.1,93.0,7.0,57.0,43.0,2006
Memphis Grizzlies,82,22,60,48.7,78.9,21.1,60.0,18.2,18.0,14.1,22.0,16.5,41.8,50.5,49.5,83.6,16.4,56.0,44.0,2006
Detroit Pistons,82,64,18,48.4,77.9,22.1,61.1,27.8,21.0,12.4,17.9,16.3,33.3,62.9,37.1,79.7,20.3,66.1,33.9,2005
San Antonio Spurs,82,63,19,48.3,78.5,21.5,63.0,18.9,20.1,9.9,16.9,16.2,44.1,50.4,49.6,90.1,9.9,57.4,42.6,2005
Dallas Mavericks,82,60,22,48.5,82.5,17.5,62.3,24.3,15.4,13.8,22.4,16.2,38.0,43.5,56.5,89.4,10.6,50.0,50.0,2005
Phoenix Suns,82,54,28,48.7,70.7,29.3,58.4,23.8,28.3,14.8,13.4,15.7,34.5,56.9,43.1,84.0,16.0,63.5,36.5,2005
Miami Heat,82,52,30,48.2,77.3,22.7,62.1,15.6,18.2,12.9,19.7,15.3,46.5,48.5,51.5,92.4,7.6,55.7,44.3,2005
Cleveland Cavaliers,82,50,32,48.4,77.2,22.8,60.3,18.1,18.6,12.9,21.1,15.5,42.1,48.2,51.8,80.3,19.7,53.6,46.4,2005
Memphis Grizzlies,82,49,33,48.4,74.2,25.8,57.1,16.4,23.4,9.8,19.5,17.3,40.7,49.4,50.6,88.5,11.5,57.8,42.2,2005
New Jersey Nets,82,49,33,48.2,77.1,22.9,59.8,24.3,18.6,13.7,21.6,17.2,35.6,63.4,36.6,89.3,10.7,67.8,32.2,2005
Los Angeles Clippers,82,47,35,48.3,86.9,13.1,67.8,26.9,10.9,9.3,21.3,13.8,40.9,53.7,46.3,88.6,11.4,57.1,42.9,2005
Los Angeles Lakers,82,45,37,48.4,76.0,24.0,59.8,20.3,20.3,9.9,19.8,16.9,39.6,51.5,48.5,86.4,13.6,58.0,42.0,2005
Denver Nuggets,82,44,38,48.6,83.9,16.1,66.3,23.6,12.8,20.2,20.9,18.0,42.8,59.1,40.9,88.6,11.4,62.4,37.6,2005
Sacramento Kings,82,44,38,48.4,78.3,21.7,60.7,23.8,18.3,10.9,21.0,17.0,36.9,56.6,43.4,87.4,12.6,61.8,38.2,2005
Washington Wizards,82,42,40,48.4,79.1,20.9,59.5,20.2,17.9,15.2,22.7,18.3,39.2,46.3,53.7,75.7,24.3,51.2,48.8,2005
Chicago Bulls,82,41,41,48.5,78.1,21.9,60.9,24.9,20.9,9.9,18.1,16.7,36.0,55.2,44.8,81.3,18.8,60.1,39.9,2005
Indiana Pacers,82,41,41,48.1,75.5,24.5,58.4,20.8,20.9,9.1,20.7,14.8,37.6,53.1,46.9,81.5,18.5,58.5,41.5,2005
Utah Jazz,82,41,41,48.5,85.1,14.9,64.3,23.6,12.3,11.0,23.4,16.2,40.7,62.0,38.0,84.6,15.4,64.6,35.4,2005
Milwaukee Bucks,82,40,42,48.4,79.7,20.3,61.6,20.2,19.0,13.6,19.5,17.2,41.3,53.6,46.4,87.8,12.2,59.4,40.6,2005
New Orleans/Oklahoma City Hornets,82,38,44,48.3,86.2,13.8,66.5,25.8,11.8,12.9,21.7,17.3,40.7,49.7,50.3,87.3,12.7,53.7,46.3,2005
Philadelphia 76ers,82,38,44,48.5,84.2,15.8,64.5,22.0,13.8,12.2,21.7,17.4,42.5,50.2,49.8,89.1,10.9,55.1,44.9,2005
Orlando Magic,82,36,46,48.5,87.1,12.9,67.1,24.6,11.5,12.0,21.4,16.1,42.5,47.4,52.6,86.3,13.7,51.4,48.6,2005
Seattle SuperSonics,82,35,47,48.4,75.7,24.3,58.8,20.0,21.6,14.5,19.6,15.8,38.8,48.1,51.9,83.6,16.4,55.1,44.9,2005
Golden State Warriors,82,34,48,48.4,73.0,27.0,57.3,17.9,23.2,14.2,19.5,15.9,39.4,51.9,48.1,78.9,21.1,57.6,42.4,2005
Houston Rockets,82,34,48,48.4,77.4,22.6,60.6,23.0,19.0,8.8,20.3,16.2,37.6,53.1,46.9,83.2,16.8,58.3,41.7,2005
Boston Celtics,82,33,49,48.5,79.6,20.4,61.8,21.4,17.4,12.4,20.7,15.7,40.4,52.3,47.7,89.5,10.5,58.1,41.9,2005
Minnesota Timberwolves,82,33,49,48.4,85.1,14.9,68.5,30.5,12.4,11.8,19.1,16.7,38.0,57.0,43.0,79.7,20.3,59.4,40.6,2005
Toronto Raptors,82,27,55,48.7,75.6,24.4,58.0,22.9,22.0,10.8,19.9,16.1,35.2,44.9,55.1,84.2,15.8,52.9,47.1,2005
Atlanta Hawks,82,26,56,48.5,82.2,17.8,63.3,21.5,16.0,11.4,20.8,17.1,41.8,50.4,49.6,83.7,16.3,55.2,44.8,2005
Charlotte Bobcats,82,26,56,48.5,81.6,18.4,63.8,23.2,16.2,13.5,20.1,19.9,40.6,52.7,47.3,89.3,10.7,58.0,42.0,2005
New York Knicks,82,23,59,48.6,85.8,14.2,63.8,18.6,12.2,8.1,23.9,15.8,45.2,47.9,52.1,84.4,15.6,52.0,48.0,2005
Portland Trail Blazers,82,21,61,48.1,83.4,16.6,66.6,25.1,15.0,10.6,18.4,15.0,41.5,48.5,51.5,86.0,14.0,53.4,46.6,2005
Phoenix Suns,82,62,20,48.2,71.1,28.9,56.4,17.3,26.4,16.7,17.2,14.9,39.1,48.3,51.7,86.9,13.1,57.5,42.5,2004
Miami Heat,82,59,23,48.7,80.2,19.8,63.0,20.2,17.1,11.5,19.9,14.7,42.8,52.8,47.2,85.5,14.5,57.8,42.2,2004
San Antonio Spurs,82,59,23,48.3,78.4,21.6,61.3,17.4,19.3,13.3,19.5,16.8,43.9,53.6,46.4,93.7,6.3,60.6,39.4,2004
Dallas Mavericks,82,58,24,48.1,81.0,19.0,61.7,24.1,16.5,14.4,21.7,17.7,37.7,47.2,52.8,83.4,16.6,52.6,47.4,2004
Detroit Pistons,82,54,28,48.7,83.6,16.4,65.0,26.1,14.2,13.6,20.8,16.7,39.0,59.2,40.8,86.5,13.5,62.7,37.3,2004
Seattle SuperSonics,82,52,30,48.2,71.9,28.1,54.6,17.4,24.6,9.9,20.7,15.9,37.3,41.1,58.9,86.5,13.5,51.6,48.4,2004
Houston Rockets,82,51,31,48.4,76.3,23.7,58.8,24.5,21.3,10.0,19.9,15.7,34.3,56.1,43.9,80.8,19.2,60.9,39.1,2004
Sacramento Kings,82,50,32,48.4,80.0,20.0,63.0,27.7,18.4,11.6,18.5,16.1,35.4,58.2,41.8,85.2,14.8,62.6,37.4,2004
Denver Nuggets,82,49,33,48.2,85.8,14.2,66.6,22.9,11.8,19.4,21.6,18.5,43.7,61.7,38.3,87.8,12.2,64.5,35.5,2004
Chicago Bulls,82,47,35,48.4,78.3,21.7,60.4,21.4,19.8,10.5,19.8,17.8,39.0,56.9,43.1,80.6,19.4,61.2,38.8,2004
Boston Celtics,82,45,37,48.5,80.8,19.2,62.8,19.8,15.8,14.6,21.4,17.5,43.0,54.3,45.7,89.9,10.1,59.4,40.6,2004
Memphis Grizzlies,82,45,37,48.1,76.3,23.7,59.3,16.3,20.8,12.0,19.9,19.1,43.0,54.6,45.4,89.6,10.4,61.2,38.8,2004
Washington Wizards,82,45,37,48.2,78.0,22.0,59.5,19.3,18.7,15.5,21.8,18.9,40.2,47.8,52.2,76.3,23.7,52.7,47.3,2004
Indiana Pacers,82,44,38,48.5,74.5,25.5,55.8,21.2,21.3,8.6,22.9,16.0,34.5,48.1,51.9,86.0,14.0,55.8,44.2,2004
Minnesota Timberwolves,82,44,38,48.2,82.7,17.3,66.8,32.6,14.9,11.5,18.3,13.4,34.2,59.3,40.7,87.6,12.4,63.0,37.0,2004
Philadelphia 76ers,82,43,39,48.4,78.4,21.6,60.1,19.8,18.6,15.0,21.3,18.0,40.3,52.1,47.9,86.9,13.1,58.0,42.0,2004
Cleveland Cavaliers,82,42,40,48.4,86.5,13.5,68.0,24.4,11.4,13.2,20.6,18.3,43.6,59.9,40.1,79.7,20.3,61.9,38.1,2004
New Jersey Nets,82,42,40,48.5,81.3,18.7,61.8,27.8,17.4,11.7,20.7,19.3,34.1,59.7,40.3,89.0,11.0,64.4,35.6,2004
Los Angeles Clippers,82,37,45,48.9,89.5,10.5,68.6,27.0,8.8,8.9,22.6,15.7,41.7,63.2,36.8,86.1,13.9,65.0,35.0,2004
Orlando Magic,82,36,46,48.1,86.3,13.7,66.5,26.6,11.8,18.1,21.7,16.8,39.9,48.7,51.3,81.3,18.8,52.2,47.8,2004
Golden State Warriors,82,34,48,48.5,74.8,25.2,59.4,21.4,23.1,13.9,17.4,16.5,38.0,54.2,45.8,81.4,18.6,59.8,40.2,2004
Los Angeles Lakers,82,34,48,48.2,72.7,27.3,55.6,16.4,23.9,12.0,20.5,13.5,39.2,49.1,50.9,88.0,12.0,57.8,42.2,2004
New York Knicks,82,33,49,48.5,81.2,18.8,63.6,25.2,16.6,9.4,19.8,16.3,38.4,51.5,48.5,81.2,18.8,55.9,44.1,2004
Toronto Raptors,82,33,49,48.3,74.7,25.3,56.3,22.2,23.8,11.7,19.9,15.5,34.2,48.8,51.2,84.3,15.7,56.6,43.4,2004
Milwaukee Bucks,82,30,52,48.2,85.9,14.1,66.2,26.2,12.2,10.6,21.6,15.0,40.0,54.3,45.7,88.0,12.0,58.0,42.0,2004
Portland Trail Blazers,82,27,55,48.1,81.9,18.1,65.0,19.5,16.5,14.4,18.5,15.9,45.5,55.3,44.7,84.0,16.0,59.5,40.5,2004
Utah Jazz,82,26,56,48.2,87.9,12.1,67.6,27.6,9.8,10.6,22.5,16.6,40.0,62.5,37.5,86.0,14.0,64.6,35.4,2004
Charlotte Bobcats,82,18,64,48.5,87.2,12.8,68.3,29.2,12.4,11.2,19.2,17.6,39.2,57.0,43.0,90.3,9.7,60.6,39.4,2004
New Orleans Hornets,82,18,64,48.6,79.9,20.1,63.5,26.7,17.2,11.4,19.3,16.3,36.8,60.1,39.9,82.2,17.8,63.4,36.6,2004
Atlanta Hawks,82,13,69,48.4,85.4,14.6,69.4,22.4,12.0,12.6,18.6,17.5,47.0,51.1,48.9,87.2,12.8,54.9,45.1,2004
Indiana Pacers,82,61,21,48.3,79.7,20.3,61.5,22.8,18.0,11.8,20.5,18.7,38.6,60.0,40.0,87.1,12.9,64.4,35.6,2003
Minnesota Timberwolves,82,58,24,48.2,86.3,13.7,69.8,35.5,12.6,11.5,17.6,15.7,34.3,59.1,40.9,89.0,11.0,62.3,37.7,2003
San Antonio Spurs,82,57,25,48.2,82.3,17.7,64.9,21.8,16.3,10.2,18.8,17.9,43.1,54.3,45.7,86.8,13.2,59.0,41.0,2003
Los Angeles Lakers,82,56,26,48.4,83.3,16.7,66.1,21.4,13.6,11.5,20.3,16.9,44.8,60.8,39.2,90.1,9.9,64.3,35.7,2003
Sacramento Kings,82,55,27,48.2,77.7,22.3,59.3,23.6,21.4,11.9,19.3,16.5,35.7,65.3,34.7,86.2,13.8,69.4,30.6,2003
Detroit Pistons,82,54,28,48.2,84.7,15.3,65.3,22.4,13.5,13.6,21.1,18.5,42.9,59.2,40.8,81.7,18.3,62.0,38.0,2003
Dallas Mavericks,82,52,30,48.3,79.9,20.1,65.3,22.1,17.6,16.7,17.1,16.4,43.1,54.8,45.2,82.8,17.2,59.1,40.9,2003
Memphis Grizzlies,82,50,32,48.5,80.3,19.7,63.5,17.3,16.9,16.9,19.6,20.0,46.2,60.9,39.1,85.7,14.3,64.6,35.4,2003
New Jersey Nets,82,47,35,48.1,82.4,17.6,65.8,22.9,15.3,17.3,18.9,18.6,42.9,68.7,31.3,88.9,11.1,71.4,28.6,2003
Houston Rockets,82,45,37,48.6,77.3,22.7,60.4,23.7,21.0,8.7,18.6,16.0,36.7,51.2,48.8,85.4,14.6,57.7,42.3,2003
Denver Nuggets,82,43,39,48.1,85.4,14.6,66.8,23.5,12.5,20.4,20.8,18.9,43.3,57.4,42.6,80.1,19.9,59.9,40.1,2003
Miami Heat,82,42,40,48.2,78.9,21.1,60.6,21.6,19.7,13.8,19.7,17.6,39.0,50.5,49.5,88.9,11.1,57.3,42.7,2003
Utah Jazz,82,42,40,48.2,87.3,12.7,67.1,26.6,10.4,13.3,22.5,18.7,40.5,59.8,40.2,84.5,15.5,62.1,37.9,2003
Milwaukee Bucks,82,41,41,48.2,82.8,17.2,63.9,22.1,15.0,12.8,21.1,15.2,41.8,58.8,41.2,90.3,9.7,63.0,37.0,2003
New Orleans Hornets,82,41,41,48.4,74.8,25.2,59.5,22.0,21.2,14.0,19.3,18.6,37.5,59.1,40.9,73.8,26.2,61.9,38.1,2003
Portland Trail Blazers,82,41,41,48.7,83.0,17.0,67.7,23.8,15.4,11.7,17.0,16.3,43.9,57.1,42.9,86.6,13.4,61.0,39.0,2003
New York Knicks,82,39,43,48.5,82.9,17.1,65.6,28.2,16.1,9.5,18.2,15.2,37.5,54.8,45.2,83.5,16.5,58.8,41.2,2003
Golden State Warriors,82,37,45,48.4,80.3,19.7,64.0,20.6,16.8,9.3,19.2,16.5,43.4,52.6,47.4,91.8,8.2,58.5,41.5,2003
Seattle SuperSonics,82,37,45,48.3,70.6,29.4,55.7,18.4,27.2,13.5,17.1,17.2,37.2,51.9,48.1,87.6,12.4,60.6,39.4,2003
Boston Celtics,82,36,46,48.1,75.1,24.9,58.6,21.7,21.2,12.5,20.1,19.4,36.9,52.4,47.6,87.5,12.5,59.2,40.8,2003
Cleveland Cavaliers,82,35,47,48.4,88.4,11.6,70.2,25.1,9.7,13.9,20.1,15.7,45.1,59.5,40.5,87.9,12.1,61.9,38.1,2003
Philadelphia 76ers,82,33,49,48.4,84.2,15.8,64.9,24.2,14.1,15.2,21.0,17.4,40.7,56.7,43.3,92.0,8.0,61.1,38.9,2003
Toronto Raptors,82,33,49,48.7,79.6,20.4,62.6,27.1,19.7,10.9,17.7,17.8,35.5,51.9,48.1,94.4,5.6,59.3,40.7,2003
Phoenix Suns,82,29,53,48.1,82.0,18.0,65.9,20.8,16.1,14.0,18.0,18.5,45.1,48.2,51.8,87.0,13.0,53.6,46.4,2003
Atlanta Hawks,82,28,54,48.5,80.9,19.1,63.3,23.3,16.5,13.1,20.2,16.1,40.1,53.7,46.3,84.5,15.5,58.3,41.7,2003
Los Angeles Clippers,82,28,54,48.3,84.4,15.6,64.0,19.2,12.7,9.5,23.3,15.9,44.8,55.0,45.0,86.6,13.4,58.7,41.3,2003
Washington Wizards,82,25,57,48.4,80.6,19.4,61.7,19.7,17.3,14.9,21.0,18.7,42.0,51.1,48.9,80.6,19.4,55.7,44.3,2003
Chicago Bulls,82,23,59,48.4,81.4,18.6,64.4,25.9,17.5,11.6,18.1,16.9,38.5,61.4,38.6,79.0,21.0,64.1,35.9,2003
Orlando Magic,82,21,61,48.4,81.6,18.4,64.2,28.6,16.7,11.5,19.1,15.9,35.6,50.4,49.6,78.6,21.4,54.5,45.5,2003
Dallas Mavericks,82,60,22,48.2,76.1,23.9,59.8,22.9,22.6,13.9,17.6,17.4,36.9,51.5,48.5,84.3,15.7,58.1,41.9,2002
San Antonio Spurs,82,60,22,48.4,79.8,20.2,62.6,17.2,17.1,12.3,20.3,17.1,45.4,49.9,50.1,90.9,9.1,56.3,43.7,2002
Sacramento Kings,82,59,23,48.4,81.6,18.4,66.0,25.9,17.7,13.8,16.4,17.0,40.0,58.3,41.7,87.4,12.6,62.7,37.3,2002
Minnesota Timberwolves,82,51,31,48.3,88.2,11.8,71.5,32.5,11.0,12.7,17.5,15.9,39.0,63.2,36.8,85.1,14.9,65.3,34.7,2002
Detroit Pistons,82,50,32,48.5,76.3,23.7,57.8,23.3,21.3,11.2,20.8,16.6,34.6,55.3,44.7,79.2,20.8,60.0,40.0,2002
Los Angeles Lakers,82,50,32,48.6,80.1,19.9,63.3,22.3,17.7,10.4,19.0,15.5,41.0,57.2,42.8,86.4,13.6,61.8,38.2,2002
Portland Trail Blazers,82,50,32,48.4,82.3,17.7,66.8,21.5,14.6,12.9,18.6,18.5,45.4,58.5,41.5,88.1,11.9,62.3,37.7,2002
New Jersey Nets,82,49,33,48.2,84.2,15.8,65.5,22.2,13.3,19.6,21.3,19.2,43.3,61.7,38.3,89.0,11.0,64.9,35.1,2002
Indiana Pacers,82,48,34,48.5,83.1,16.9,63.8,24.1,14.3,15.1,21.9,17.1,39.6,62.3,37.7,87.6,12.4,65.6,34.4,2002
Philadelphia 76ers,82,48,34,48.4,88.1,11.9,68.8,22.2,9.3,16.0,22.0,20.2,46.6,56.7,43.3,91.0,9.0,59.5,40.5,2002
New Orleans Hornets,82,47,35,48.5,83.9,16.1,65.2,26.8,15.7,11.9,19.1,17.5,38.4,58.2,41.8,85.4,14.6,62.0,38.0,2002
Utah Jazz,82,47,35,48.2,89.6,10.4,68.8,27.4,8.7,12.3,22.5,18.8,41.4,71.3,28.7,88.4,11.6,72.7,27.3,2002
Boston Celtics,82,44,38,48.4,66.9,33.1,52.1,14.9,28.4,9.6,19.5,18.5,37.2,49.6,50.4,82.3,17.7,58.3,41.7,2002
Phoenix Suns,82,44,38,48.3,83.0,17.0,66.7,23.6,15.1,11.5,18.3,18.7,43.0,53.0,47.0,85.0,15.0,57.2,42.8,2002
Houston Rockets,82,43,39,48.6,80.4,19.6,62.5,21.4,17.1,12.3,20.4,16.2,41.0,46.6,53.4,87.9,12.1,53.0,47.0,2002
Milwaukee Bucks,82,42,40,48.5,77.1,22.9,60.3,23.8,21.5,12.4,18.2,16.2,36.6,52.7,47.3,89.9,10.1,59.9,40.1,2002
Orlando Magic,82,42,40,48.3,76.5,23.5,58.9,25.7,21.1,12.9,20.0,18.1,33.2,51.5,48.5,79.2,20.8,56.9,43.1,2002
Seattle SuperSonics,82,40,42,48.4,80.4,19.6,64.4,25.2,18.1,12.6,17.5,18.7,39.2,56.0,44.0,90.6,9.4,61.5,38.5,2002
Golden State Warriors,82,38,44,48.2,82.2,17.8,62.8,21.2,15.2,13.5,22.1,14.5,41.5,51.7,48.3,81.9,18.1,55.9,44.1,2002
New York Knicks,82,37,45,48.4,76.5,23.5,60.1,29.2,23.1,8.8,16.8,16.1,30.9,55.5,44.5,80.7,19.3,60.7,39.3,2002
Washington Wizards,82,37,45,48.4,87.3,12.7,68.3,34.9,10.1,9.5,21.6,16.6,33.5,54.1,45.9,89.3,10.7,57.2,42.8,2002
Atlanta Hawks,82,35,47,48.5,82.3,17.7,63.7,26.5,15.6,13.5,20.7,15.1,37.2,54.3,45.7,85.6,14.4,58.7,41.3,2002
Chicago Bulls,82,30,52,48.6,85.2,14.8,67.9,21.5,13.4,12.9,18.7,15.8,46.4,56.2,43.8,84.8,15.2,59.6,40.4,2002
Memphis Grizzlies,82,28,54,48.6,81.0,19.0,64.6,22.2,17.5,16.6,17.9,16.4,42.4,58.4,41.6,82.2,17.8,62.1,37.9,2002
Los Angeles Clippers,82,27,55,48.2,81.8,18.2,63.6,17.9,15.2,12.7,21.2,16.1,45.7,51.8,48.2,86.9,13.1,56.6,43.4,2002
Miami Heat,82,25,57,48.4,83.1,16.9,66.7,29.9,14.9,11.6,18.4,17.2,36.8,51.9,48.1,82.5,17.5,55.8,44.2,2002
Toronto Raptors,82,24,58,48.3,82.1,17.9,65.4,27.0,16.5,16.7,18.1,15.2,38.5,51.0,49.0,82.9,17.1,55.6,44.4,2002
Cleveland Cavaliers,82,17,65,48.4,86.7,13.3,68.2,25.2,11.7,15.4,20.0,16.6,43.1,57.2,42.8,85.3,14.7,60.1,39.9,2002
Denver Nuggets,82,17,65,48.1,87.4,12.6,71.3,26.7,10.0,13.4,18.8,19.9,44.6,62.9,37.1,82.5,17.5,64.6,35.4,2002
Sacramento Kings,82,61,21,48.2,83.4,16.6,66.2,24.8,14.9,16.3,18.9,16.8,41.4,56.0,44.0,86.6,13.4,60.0,40.0,2001
Los Angeles Lakers,82,58,24,48.2,79.0,21.0,63.6,20.6,18.4,10.5,18.0,15.3,43.0,53.9,46.1,90.2,9.8,59.7,40.3,2001
San Antonio Spurs,82,58,24,48.4,81.0,19.0,62.4,19.7,16.6,12.0,21.0,17.6,42.7,50.7,49.3,88.6,11.4,56.4,43.6,2001
Dallas Mavericks,82,57,25,48.5,76.3,23.7,59.8,22.2,21.6,15.2,18.6,15.2,37.6,51.0,49.0,79.9,20.1,56.6,43.4,2001
