,Coach,TEAM,N_Seasons_TEAM,N_Seasons_Overall,RS_G_Current,RS_W_Current,RS_L_Current,RS_G_TEAM,RS_W_TEAM,RS_L_TEAM,RS_G_Overall,RS_W_Perc_Overall,P_G_Overall,P_W_Perc,Season
19,Chris Finch,MIN,1,1,41,16,25,41,16,25,41,0.39,,,2020
20,Stan Van Gundy,NOP,1,13,72,31,41,72,31,41,979,0.566,91.0,0.5274725274725275,2020
21,Tom Thibodeau,NYK,1,9,72,41,31,72,41,31,670,0.587,61.0,0.4098360655737705,2020
22,Mark Daigneault,OKC,1,1,72,22,50,72,22,50,72,0.306,,,2020
23,Steve Clifford,ORL,3,8,72,21,51,227,96,131,637,0.458,21.0,0.23809523809523808,2020
24,Doc Rivers,PHI,1,22,72,49,23,72,49,23,1696,0.585,192.0,0.5104166666666666,2020
25,Monty Williams,PHO,2,7,72,51,21,145,85,60,539,0.479,32.0,0.5,2020
26,Terry Stotts,POR,9,13,72,42,30,720,402,318,1003,0.515,67.0,0.34328358208955223,2020
27,Luke Walton,SAC,2,5,72,31,41,144,62,82,390,0.41,,,2020
28,Gregg Popovich,SAS,25,25,72,33,39,1963,1310,653,1963,0.667,284.0,0.5985915492957746,2020
29,Nick Nurse,TOR,3,3,72,27,45,226,138,88,226,0.611,35.0,0.6571428571428571,2020
30,Quin Snyder,UTA,7,7,72,52,20,554,323,231,554,0.583,45.0,0.4222222222222222,2020
31,Scott Brooks,WAS,5,12,72,34,38,390,183,207,935,0.557,97.0,0.5051546391752577,2020
0,Nate McMillan,ATL,2,18,82,43,39,120,70,50,1369,0.534,76.0,0.3684210526315789,2021
1,Ime Udoka,BOS,1,1,82,51,31,82,51,31,82,0.622,24.0,0.5833333333333334,2021
2,Steve Nash,BRK,2,2,82,44,38,154,92,62,154,0.597,16.0,0.4375,2021
3,Billy Donovan,CHI,2,7,82,46,36,154,77,77,554,0.578,46.0,0.41304347826086957,2021
4,James Borrego,CHO,4,5,82,43,39,301,138,163,331,0.447,,,2021
5,J.B. Bickerstaff,CLE,3,6,82,44,38,165,71,94,381,0.409,5.0,0.2,2021
6,Jason Kidd,DAL,1,6,82,52,30,82,52,30,455,0.516,42.0,0.42857142857142855,2021
7,Michael Malone,DEN,7,9,82,48,34,555,314,241,661,0.534,48.0,0.4375,2021
8,Dwane Casey,DET,4,13,82,23,59,302,104,198,982,0.486,55.0,0.38181818181818183,2021
9,Steve Kerr,GSW,8,8,82,53,29,629,429,200,629,0.682,127.0,0.7322834645669292,2021
10,Stephen Silas,HOU,2,2,82,20,62,154,37,117,154,0.24,,,2021
11,Rick Carlisle,IND,5,20,82,25,57,410,206,204,1607,0.536,133.0,0.47368421052631576,2021
12,Tyronn Lue,LAC,2,6,82,42,40,154,89,65,365,0.595,80.0,0.6375,2021
13,Frank Vogel,LAL,3,11,82,33,49,225,127,98,820,0.526,88.0,0.5568181818181818,2021
14,Taylor Jenkins,MEM,3,3,82,56,26,227,128,99,227,0.564,17.0,0.4117647058823529,2021
15,Erik Spoelstra,MIA,14,14,82,53,29,1113,660,453,1113,0.593,161.0,0.5962732919254659,2021
16,Mike Budenholzer,MIL,4,9,82,51,31,309,213,96,719,0.592,99.0,0.5555555555555556,2021
17,Chris Finch,MIN,2,2,82,46,36,123,62,61,123,0.504,6.0,0.3333333333333333,2021
18,Willie Green,NOP,1,1,82,36,46,82,36,46,82,0.439,6.0,0.3333333333333333,2021
19,Tom Thibodeau,NYK,2,10,82,37,45,154,78,76,752,0.572,61.0,0.4098360655737705,2021
20,Mark Daigneault,OKC,2,2,82,24,58,154,46,108,154,0.299,,,2021
21,Jamahl Mosley,ORL,1,1,82,22,60,82,22,60,82,0.268,,,2021
22,Doc Rivers,PHI,2,23,82,51,31,154,100,54,1778,0.587,204.0,0.5098039215686274,2021
23,Monty Williams,PHO,3,8,82,64,18,227,149,78,621,0.519,45.0,0.5111111111111111,2021
24,Chauncey Billups,POR,1,1,82,27,55,82,27,55,82,0.329,,,2021
25,Luke Walton,SAC,3,6,17,6,11,161,68,93,407,0.408,,,2021
26,Alvin Gentry,SAC,1,18,65,24,41,65,24,41,1170,0.456,30.0,0.5666666666666667,2021
27,Gregg Popovich,SAS,26,26,82,34,48,2045,1344,701,2045,0.657,284.0,0.5985915492957746,2021
28,Nick Nurse,TOR,4,4,82,48,34,308,186,122,308,0.604,41.0,0.6097560975609756,2021
29,Quin Snyder,UTA,8,8,82,49,33,636,372,264,636,0.585,51.0,0.4117647058823529,2021
30,Wes Unseld,WAS,1,1,82,35,47,82,35,47,82,0.427,,,2021
0,Nate McMillan,ATL,3,19,59,29,30,179,99,80,1428,0.532,76.0,0.3684210526315789,2022
1,Joe Prunty,ATL,1,2,2,2,0,2,2,0,39,0.59,7.0,0.42857142857142855,2022
2,Quin Snyder,ATL,1,9,21,10,11,21,10,11,657,0.581,57.0,0.40350877192982454,2022
3,Joe Mazzulla,BOS,1,1,82,57,25,82,57,25,82,0.695,20.0,0.55,2022
4,Steve Nash,BRK,3,3,7,2,5,161,94,67,161,0.584,16.0,0.4375,2022
5,Jacque Vaughn,BRK,2,5,75,43,32,85,50,35,301,0.359,8.0,0.0,2022
6,Billy Donovan,CHI,3,8,82,40,42,236,117,119,636,0.566,46.0,0.41304347826086957,2022
7,Steve Clifford,CHO,6,9,82,27,55,492,223,269,719,0.444,21.0,0.23809523809523808,2022
8,J.B. Bickerstaff,CLE,4,7,82,51,31,247,122,125,463,0.447,10.0,0.2,2022
9,Jason Kidd,DAL,2,7,82,38,44,164,90,74,537,0.508,42.0,0.42857142857142855,2022
10,Michael Malone,DEN,8,10,82,53,29,637,367,270,743,0.546,68.0,0.5441176470588235,2022
11,Dwane Casey,DET,5,14,82,17,65,384,121,263,1064,0.464,55.0,0.38181818181818183,2022
12,Steve Kerr,GSW,9,9,82,44,38,711,473,238,711,0.665,140.0,0.7071428571428572,2022
13,Stephen Silas,HOU,3,3,82,22,60,236,59,177,236,0.25,,,2022
14,Rick Carlisle,IND,6,21,82,35,47,492,241,251,1689,0.53,133.0,0.47368421052631576,2022
15,Tyronn Lue,LAC,3,7,82,44,38,236,133,103,447,0.584,85.0,0.611764705882353,2022
16,Darvin Ham,LAL,1,1,82,43,39,82,43,39,82,0.524,16.0,0.5,2022
17,Taylor Jenkins,MEM,4,4,82,51,31,309,179,130,309,0.579,23.0,0.391304347826087,2022
18,Erik Spoelstra,MIA,15,15,82,44,38,1195,704,491,1195,0.589,184.0,0.592391304347826,2022
19,Mike Budenholzer,MIL,5,10,82,58,24,391,271,120,801,0.604,104.0,0.5384615384615384,2022
20,Chris Finch,MIN,3,3,82,42,40,205,104,101,205,0.507,11.0,0.2727272727272727,2022
21,Willie Green,NOP,2,2,82,42,40,164,78,86,164,0.476,6.0,0.3333333333333333,2022
22,Tom Thibodeau,NYK,3,11,82,47,35,236,125,111,834,0.572,72.0,0.4305555555555556,2022
23,Mark Daigneault,OKC,3,3,82,40,42,236,86,150,236,0.364,,,2022
24,Jamahl Mosley,ORL,2,2,82,34,48,164,56,108,164,0.341,,,2022
25,Doc Rivers,PHI,3,24,82,54,28,236,154,82,1860,0.59,215.0,0.5162790697674419,2022
26,Monty Williams,PHO,4,9,82,45,37,309,194,115,703,0.522,56.0,0.5178571428571429,2022
27,Chauncey Billups,POR,2,2,82,33,49,164,60,104,164,0.366,,,2022
28,Mike Brown,SAC,1,9,82,48,34,82,48,34,645,0.612,90.0,0.5555555555555556,2022
29,Gregg Popovich,SAS,27,27,82,22,60,2127,1366,761,2127,0.642,284.0,0.5985915492957746,2022
30,Nick Nurse,TOR,5,5,82,41,41,390,227,163,390,0.582,41.0,0.6097560975609756,2022
31,Will Hardy,UTA,1,1,82,37,45,82,37,45,82,0.451,,,2022
32,Wes Unseld,WAS,2,2,82,35,47,164,70,94,164,0.427,,,2022
