,Coach,TEAM,N_Seasons_TEAM,N_Seasons_Overall,RS_G_Current,RS_W_Current,RS_L_Current,RS_G_TEAM,RS_W_TEAM,RS_L_TEAM,RS_G_Overall,RS_W_Perc_Overall,P_G_Overall,P_W_Perc,Season
4,Pete Myers,CHI,1,1,2,0,2,2,0,2,2,0.0,,,2003
5,Scott Skiles,CHI,1,4,66,19,47,66,19,47,261,0.517,13.0,0.38461538461538464,2003
6,Paul Silas,CLE,1,9,82,35,47,82,35,47,691,0.465,29.0,0.4482758620689655,2003
7,Don Nelson,DAL,7,26,82,52,30,526,297,229,2006,0.572,155.0,0.45161290322580644,2003
8,Jeff Bzdelik,DEN,2,2,82,43,39,164,60,104,164,0.366,5.0,0.2,2003
9,Larry Brown,DET,1,25,82,54,28,82,54,28,1982,0.586,206.0,0.5097087378640777,2003
10,Eric Musselman,GSW,2,2,82,37,45,164,75,89,164,0.457,,,2003
11,Jeff Van Gundy,HOU,1,8,82,45,37,82,45,37,502,0.584,74.0,0.5135135135135135,2003
12,Rick Carlisle,IND,1,3,82,61,21,82,61,21,246,0.654,43.0,0.5116279069767442,2003
13,Mike Dunleavy,LAC,1,11,82,28,54,82,28,54,870,0.49,59.0,0.5254237288135594,2003
14,Phil Jackson,LAL,5,14,82,56,26,410,287,123,1148,0.725,244.0,0.7172131147540983,2003
15,Hubie Brown,MEM,2,14,82,50,32,156,78,78,1075,0.487,63.0,0.49206349206349204,2003
16,Stan Van Gundy,MIA,1,1,82,42,40,82,42,40,82,0.512,13.0,0.46153846153846156,2003
17,Terry Porter,MIL,1,1,82,41,41,82,41,41,82,0.5,5.0,0.2,2003
18,Flip Saunders,MIN,9,9,82,58,24,686,386,300,686,0.563,47.0,0.3617021276595745,2003
19,Byron Scott,NJN,4,4,42,22,20,288,149,139,288,0.517,40.0,0.625,2003
20,Lawrence Frank,NJN,1,1,40,25,15,40,25,15,40,0.625,11.0,0.6363636363636364,2003
21,Tim Floyd,NOH,1,5,82,41,41,82,41,41,321,0.28,7.0,0.42857142857142855,2003
22,Don Chaney,NYK,3,12,39,15,24,184,72,112,831,0.406,11.0,0.18181818181818182,2003
23,Herb Williams,NYK,1,1,1,1,0,1,1,0,1,1.0,,,2003
24,Lenny Wilkens,NYK,1,31,42,23,19,42,23,19,2448,0.537,178.0,0.449438202247191,2003
25,Doc Rivers,ORL,5,5,11,1,10,339,171,168,339,0.504,15.0,0.3333333333333333,2003
26,Johnny Davis,ORL,1,2,71,20,51,71,20,51,153,0.275,,,2003
27,Randy Ayers,PHI,1,1,52,21,31,52,21,31,52,0.404,,,2003
28,Chris Ford,PHI,1,10,30,12,18,30,12,18,699,0.462,29.0,0.4482758620689655,2003
29,Frank Johnson,PHO,3,3,21,8,13,134,63,71,134,0.47,6.0,0.3333333333333333,2003
30,Mike D'Antoni,PHO,1,2,61,21,40,61,21,40,111,0.315,,,2003
31,Maurice Cheeks,POR,3,3,82,41,41,246,140,106,246,0.569,10.0,0.3,2003
32,Rick Adelman,SAC,6,14,82,55,27,460,301,159,1069,0.616,127.0,0.5275590551181102,2003
33,Gregg Popovich,SAS,8,8,82,57,25,606,396,210,606,0.653,87.0,0.6091954022988506,2003
34,Nate McMillan,SEA,4,4,82,37,45,313,160,153,313,0.511,5.0,0.4,2003
35,Kevin O'Neill,TOR,1,1,82,33,49,82,33,49,82,0.402,,,2003
36,Jerry Sloan,UTA,16,19,82,42,40,1263,823,440,1478,0.62,158.0,0.4936708860759494,2003
37,Eddie Jordan,WAS,1,3,82,25,57,82,25,57,179,0.324,,,2003
0,Mike Woodson,ATL,1,1,82,13,69,82,13,69,82,0.159,,,2004
1,Doc Rivers,BOS,1,6,82,45,37,82,45,37,421,0.513,22.0,0.36363636363636365,2004
