TEAM,GP,W,L,MIN,"PTS
OFF TO","2ND
PTS",FBPS,PITP,"OPP PTS
OFF TO","OPP
2ND PTS","OPP
FBPS","OPP
PITP",Season
Portland Trail Blazers,74,35,39,48.2,14.3,12.7,13.2,44.6,14.5,15.5,14.8,47.0,2019
Memphis Grizzlies,73,34,39,48.1,17.1,13.7,17.2,55.9,17.9,13.6,13.9,45.3,2019
Phoenix Suns,73,34,39,48.2,18.5,12.2,14.7,47.8,16.6,12.5,12.7,49.8,2019
Orlando Magic,73,33,40,48.1,17.0,12.7,11.9,45.4,14.3,11.2,11.9,46.3,2019
San Antonio Spurs,71,32,39,48.5,15.7,11.0,13.3,43.6,15.1,13.6,13.0,48.2,2019
Sacramento Kings,72,31,41,48.5,17.4,12.7,12.7,47.0,16.5,11.9,12.1,46.6,2019
New Orleans Pelicans,72,30,42,48.4,16.7,14.5,16.6,49.8,19.6,13.6,15.4,52.2,2019
Washington Wizards,72,25,47,48.2,18.6,13.1,13.4,45.6,16.7,14.4,12.7,51.4,2019
Charlotte Hornets,65,23,42,48.5,16.2,13.4,11.6,46.5,16.8,13.2,11.8,50.5,2019
Chicago Bulls,65,22,43,48.2,21.2,13.3,14.8,49.5,17.8,12.7,12.5,49.6,2019
New York Knicks,66,21,45,48.4,15.7,15.3,9.4,48.6,17.5,12.6,12.8,43.8,2019
Atlanta Hawks,67,20,47,48.6,16.7,13.3,12.9,50.4,19.5,15.0,14.8,53.6,2019
Detroit Pistons,66,20,46,48.4,15.9,13.3,11.0,48.2,17.3,13.2,12.7,52.0,2019
Cleveland Cavaliers,65,19,46,48.4,14.4,13.5,10.5,49.3,20.0,12.7,14.4,53.6,2019
Minnesota Timberwolves,64,19,45,48.6,16.6,13.5,11.3,49.2,17.8,13.5,13.0,51.2,2019
Golden State Warriors,65,15,50,48.4,17.1,11.9,13.8,43.8,18.0,13.5,15.0,48.8,2019
Milwaukee Bucks,82,60,22,48.2,16.7,11.7,17.7,53.3,14.6,12.1,11.0,42.2,2018
Toronto Raptors,82,58,24,48.5,17.2,12.7,18.4,48.5,15.9,12.9,13.5,47.5,2018
Golden State Warriors,82,57,25,48.3,16.3,12.5,19.1,43.2,17.4,13.8,15.1,47.1,2018
Denver Nuggets,82,54,28,48.1,15.7,15.5,12.6,52.1,15.0,12.1,12.2,48.9,2018
