TEAM,GP,W,L,MIN,"PTS
OFF TO","2ND
PTS",FBPS,PITP,"OPP PTS
OFF TO","OPP
2ND PTS","OPP
FBPS","OPP
PITP",Season
Portland Trail Blazers,50,35,15,48.7,17.8,15.2,12.6,37.4,15.0,12.9,10.5,35.0,1998
Indiana Pacers,50,33,17,48.4,14.0,11.3,9.2,33.0,13.9,12.5,13.2,34.0,1998
Miami Heat,50,33,17,48.1,15.5,11.0,10.1,33.2,16.5,12.8,9.0,31.7,1998
Orlando Magic,50,33,17,48.2,19.0,15.3,12.7,35.2,17.3,12.3,13.9,39.2,1998
Atlanta Hawks,50,31,19,48.3,14.1,15.0,10.4,33.3,15.0,11.7,10.6,31.7,1998
Houston Rockets,50,31,19,48.3,14.6,12.7,12.5,40.1,17.3,13.8,12.4,37.6,1998
Los Angeles Lakers,50,31,19,48.2,14.8,14.2,12.1,46.8,16.8,14.7,13.0,38.5,1998
Detroit Pistons,50,29,21,48.2,17.2,11.7,12.0,35.4,16.0,12.0,10.5,31.1,1998
Milwaukee Bucks,50,28,22,48.2,18.6,12.6,12.4,34.0,15.5,14.7,11.4,33.4,1998
Philadelphia 76ers,50,28,22,48.6,20.1,14.6,17.3,38.5,16.9,12.3,11.8,33.0,1998
New York Knicks,50,27,23,48.4,15.6,10.3,9.7,35.8,16.0,12.5,8.1,28.5,1998
Phoenix Suns,50,27,23,48.2,17.6,13.0,14.2,36.9,15.0,15.6,12.3,38.0,1998
Sacramento Kings,50,27,23,48.8,17.9,14.6,16.5,49.2,17.9,16.1,13.3,45.8,1998
Charlotte Hornets,50,26,24,48.6,17.1,10.2,12.5,34.0,18.3,13.8,13.8,37.7,1998
Minnesota Timberwolves,50,25,25,48.1,17.2,16.4,11.7,34.1,14.1,13.0,12.8,36.1,1998
Seattle SuperSonics,50,25,25,48.4,15.7,15.0,12.5,41.6,16.2,14.5,12.9,42.0,1998
Toronto Raptors,50,23,27,48.3,16.3,16.0,18.1,34.8,18.1,12.5,16.4,33.8,1998
Cleveland Cavaliers,50,22,28,48.2,17.8,11.1,11.2,34.6,17.0,13.8,11.4,35.7,1998
Golden State Warriors,50,21,29,48.5,15.2,15.8,13.3,36.4,16.3,13.4,10.4,38.6,1998
Boston Celtics,50,19,31,48.6,18.4,14.8,13.7,41.1,18.2,14.8,14.5,42.4,1998
Dallas Mavericks,50,19,31,48.3,15.1,13.0,13.4,36.4,15.7,13.4,13.2,39.2,1998
Washington Wizards,50,18,32,48.2,17.9,13.5,10.5,36.4,16.2,12.5,13.2,36.9,1998
New Jersey Nets,50,16,34,48.2,16.6,14.3,14.7,36.0,16.1,13.0,12.4,42.5,1998
Denver Nuggets,50,14,36,48.1,14.2,13.9,11.4,35.4,16.2,13.6,13.0,44.4,1998
Chicago Bulls,50,13,37,48.3,15.8,10.9,9.0,33.4,17.7,12.0,12.6,38.5,1998
Los Angeles Clippers,50,9,41,48.5,16.8,14.4,10.4,42.3,17.5,14.9,15.5,46.6,1998
Vancouver Grizzlies,50,8,42,48.7,15.8,13.4,10.7,39.2,19.3,15.1,17.6,43.6,1998
Chicago Bulls,82,62,20,48.4,17.8,16.1,13.2,38.9,15.0,13.6,12.3,37.4,1997
Utah Jazz,82,62,20,48.2,16.5,13.8,13.2,42.0,17.0,13.6,10.1,35.3,1997
Los Angeles Lakers,82,61,21,48.4,18.2,14.5,18.4,54.1,17.5,15.6,13.3,40.4,1997
Seattle SuperSonics,82,61,21,48.2,19.7,13.9,15.8,41.7,15.5,15.4,13.0,38.9,1997
Indiana Pacers,82,58,24,48.4,17.9,12.1,14.0,36.6,14.5,14.3,12.2,37.2,1997
Phoenix Suns,82,56,26,48.7,18.5,13.8,14.6,41.6,16.3,14.5,11.8,39.8,1997
San Antonio Spurs,82,56,26,48.4,13.1,13.3,10.8,43.3,16.6,13.5,10.6,33.7,1997
Miami Heat,82,55,27,48.2,16.0,14.4,13.7,38.9,16.4,14.5,10.8,36.8,1997
Charlotte Hornets,82,51,31,48.2,16.9,13.3,14.1,40.8,17.1,13.8,13.0,40.9,1997
Atlanta Hawks,82,50,32,48.5,15.5,16.0,10.9,39.4,16.4,14.0,13.3,38.2,1997
Cleveland Cavaliers,82,47,35,48.4,19.4,13.4,13.3,40.7,18.6,12.8,13.2,36.4,1997
Portland Trail Blazers,82,46,36,48.4,15.4,15.9,12.0,44.1,17.5,12.3,13.4,36.2,1997
Minnesota Timberwolves,82,45,37,48.6,17.1,15.0,14.3,39.4,16.4,16.3,14.0,42.2,1997
New Jersey Nets,82,43,39,48.5,20.0,15.8,13.9,40.8,16.0,15.2,13.6,44.8,1997
New York Knicks,82,43,39,48.4,17.2,12.3,11.7,34.8,15.3,12.2,9.3,32.4,1997
Washington Wizards,82,42,40,48.3,18.2,15.1,12.1,41.0,15.4,14.3,13.7,42.8,1997
Houston Rockets,82,41,41,48.4,16.2,14.2,12.5,39.3,17.6,15.6,13.9,41.5,1997
Orlando Magic,82,41,41,48.4,15.9,16.5,9.6,36.3,16.8,14.5,14.8,41.0,1997
Detroit Pistons,82,37,45,48.7,17.4,14.5,13.5,40.0,15.6,14.2,11.0,34.3,1997
Boston Celtics,82,36,46,48.1,22.2,16.5,15.2,41.3,17.7,14.4,15.2,46.8,1997
Milwaukee Bucks,82,36,46,48.6,17.8,14.4,15.7,36.6,18.9,13.6,16.8,43.1,1997
Philadelphia 76ers,82,31,51,48.2,17.3,14.7,15.5,41.3,18.5,14.6,14.6,37.9,1997
Sacramento Kings,82,27,55,48.1,16.0,14.7,13.2,41.6,17.5,15.1,15.7,44.4,1997
Dallas Mavericks,82,20,62,48.5,16.3,13.5,13.8,33.1,16.6,16.4,15.9,44.0,1997
Golden State Warriors,82,19,63,48.4,14.8,16.7,11.5,37.1,18.5,15.3,13.8,41.0,1997
Vancouver Grizzlies,82,19,63,48.4,15.3,14.6,13.3,44.5,19.6,15.2,17.9,43.0,1997
Los Angeles Clippers,82,17,65,48.2,15.6,14.8,14.9,41.9,18.7,16.4,14.7,47.9,1997
Toronto Raptors,82,16,66,48.6,17.8,15.9,19.6,42.7,19.3,18.0,22.5,48.4,1997
Denver Nuggets,82,11,71,48.1,16.1,14.7,12.9,33.5,18.9,15.2,12.8,40.8,1997
Chicago Bulls,82,69,13,48.1,18.6,16.5,12.4,36.7,14.2,14.4,10.5,38.5,1996
Utah Jazz,82,64,18,48.4,19.2,12.7,14.0,45.4,16.3,13.0,8.0,34.7,1996
Miami Heat,82,61,21,48.3,18.6,13.2,12.3,37.6,17.1,12.9,9.4,37.7,1996
Houston Rockets,82,57,25,48.4,16.4,13.3,12.0,42.9,18.2,14.2,12.7,39.7,1996
New York Knicks,82,57,25,48.4,17.3,13.1,11.3,38.2,18.4,12.5,8.9,33.8,1996
Seattle SuperSonics,82,57,25,48.2,21.0,14.9,15.6,45.7,16.3,14.6,10.8,34.3,1996
Atlanta Hawks,82,56,26,48.3,17.8,13.2,8.9,35.1,16.1,14.4,11.3,36.6,1996
Los Angeles Lakers,82,56,26,48.6,18.7,14.2,15.3,46.5,16.1,14.9,13.6,40.5,1996
Charlotte Hornets,82,54,28,48.3,16.7,13.1,11.0,38.0,16.3,16.1,11.1,42.6,1996
Detroit Pistons,82,54,28,48.4,17.3,12.4,10.5,34.9,14.0,13.2,9.5,32.2,1996
Portland Trail Blazers,82,49,33,48.4,17.4,14.2,13.0,45.7,18.2,12.7,12.4,38.9,1996
Orlando Magic,82,45,37,48.4,17.9,14.5,11.2,39.5,17.7,14.3,16.4,43.4,1996
Washington Bullets,82,44,38,48.4,18.7,14.8,14.5,48.7,17.2,13.5,12.6,39.9,1996
Cleveland Cavaliers,82,42,40,48.4,18.2,12.0,8.2,32.7,15.7,11.3,8.8,33.2,1996
Minnesota Timberwolves,82,40,42,48.2,17.2,14.0,10.6,37.8,16.9,14.5,13.0,42.2,1996
Phoenix Suns,82,40,42,48.4,17.2,12.7,15.3,43.9,16.2,15.6,11.6,43.3,1996
Indiana Pacers,82,39,43,48.6,16.5,14.2,12.8,39.2,18.3,13.4,13.2,35.0,1996
Los Angeles Clippers,82,36,46,48.6,18.5,15.2,13.4,40.7,18.2,14.0,12.7,44.3,1996
Sacramento Kings,82,34,48,48.3,16.3,14.7,13.0,39.3,18.7,13.9,13.7,41.6,1996
Milwaukee Bucks,82,33,49,48.1,16.4,13.3,13.8,42.2,18.5,13.4,17.0,44.4,1996
Golden State Warriors,82,30,52,48.5,17.2,15.3,9.7,40.7,20.7,15.2,12.2,43.4,1996
Toronto Raptors,82,30,52,48.4,17.8,15.0,17.5,40.9,18.8,14.8,17.7,43.2,1996
New Jersey Nets,82,26,56,48.2,17.4,17.3,14.5,40.5,17.7,14.3,14.9,43.3,1996
Dallas Mavericks,82,24,58,48.3,16.6,14.0,13.5,39.1,17.5,13.7,14.6,39.1,1996
Philadelphia 76ers,82,22,60,48.2,16.9,16.6,13.8,45.1,20.6,16.5,16.5,48.1,1996
Denver Nuggets,82,21,61,48.6,14.1,14.2,12.1,35.1,19.3,15.6,13.4,45.4,1996
San Antonio Spurs,82,20,62,48.1,15.4,14.2,11.6,42.2,17.3,15.0,12.9,40.8,1996
Boston Celtics,82,15,67,48.5,20.4,15.4,16.5,45.1,19.0,14.6,15.9,52.7,1996
Vancouver Grizzlies,82,14,68,48.2,15.4,14.0,11.2,39.2,18.1,16.0,14.4,46.2,1996
