TEAM,GP,W,L,MIN,"OPP
FGM","OPP
FGA","OPP
FG%","OPP
3PM","OPP
3PA","OPP
3P%","OPP
FTM","OPP
FTA","OPP
FT%","OPP
OREB","OPP
DREB","OPP
REB","OPP
AST","OPP
TOV","OPP
STL","OPP
BLK","OPP
BLKA","OPP
PF","OPP
PFD","OPP
PTS",+/-,Season
Detroit Pistons,82,44,38,48.5,38.8,84.2,46.1,7.3,20.5,35.5,16.5,21.0,78.3,8.8,33.7,42.5,21.5,13.4,7.1,4.5,3.7,21.6,19.0,101.4,-0.6,2015
Portland Trail Blazers,82,44,38,48.3,38.4,84.7,45.3,8.5,23.0,37.1,19.0,26.0,73.4,10.6,33.1,43.7,21.6,13.3,7.7,5.2,4.6,19.5,21.7,104.3,-0.8,2015
Chicago Bulls,82,42,40,48.5,39.4,89.4,44.1,7.9,23.0,34.5,16.3,22.1,73.7,11.8,34.1,45.9,22.5,11.9,8.0,5.7,5.7,18.7,18.8,103.1,1.5,2015
Dallas Mavericks,82,42,40,48.8,38.3,85.0,45.1,9.1,26.5,34.2,16.9,22.8,73.8,10.6,35.2,45.8,22.0,13.9,7.5,4.4,3.7,21.4,19.5,102.6,0.3,2015
Memphis Grizzlies,82,42,40,48.4,35.9,78.8,45.6,9.7,26.6,36.5,19.7,25.7,76.8,10.1,33.1,43.2,21.9,16.2,7.0,5.7,4.3,21.1,21.7,101.3,2.2,2015
Houston Rockets,82,41,41,48.4,39.0,85.1,45.9,9.7,26.9,36.1,18.6,24.6,75.6,11.8,32.8,44.6,24.6,16.6,9.0,4.9,5.2,22.5,21.8,106.4,-0.2,2015
Washington Wizards,82,41,41,48.2,38.7,83.8,46.2,9.0,24.2,37.1,18.3,23.7,76.9,9.4,34.9,44.3,22.5,16.2,8.1,4.3,3.9,20.1,20.8,104.6,0.5,2015
Utah Jazz,82,40,42,48.7,35.6,79.9,44.6,7.9,22.2,35.7,16.8,22.5,74.6,9.3,30.8,40.1,19.1,14.0,8.0,4.7,5.2,19.9,20.2,95.9,-1.8,2015
Orlando Magic,82,35,47,48.5,38.4,83.5,46.0,8.9,24.9,35.9,17.9,24.0,74.6,10.1,34.1,44.3,23.2,15.1,7.6,5.5,5.1,18.3,20.7,103.7,1.6,2015
Denver Nuggets,82,33,49,48.4,38.8,84.2,46.1,9.2,24.8,37.1,18.2,23.9,76.1,9.7,32.9,42.7,23.5,13.7,8.0,6.3,4.8,20.9,21.0,105.0,3.1,2015
Milwaukee Bucks,82,33,49,48.4,37.8,83.1,45.4,9.3,26.5,35.2,18.4,23.9,76.8,11.5,31.5,43.0,24.5,15.5,8.3,5.6,5.8,19.5,20.7,103.2,4.2,2015
Sacramento Kings,82,33,49,48.3,40.6,87.7,46.2,10.2,28.0,36.6,17.7,23.2,76.2,11.3,33.7,45.0,24.2,16.0,8.8,5.3,4.5,22.0,20.4,109.1,2.5,2015
New York Knicks,82,32,50,48.3,38.0,85.8,44.3,7.6,22.4,34.1,17.5,23.2,75.4,10.9,33.3,44.2,20.8,11.3,7.2,4.2,5.7,18.5,19.7,101.1,2.7,2015
New Orleans Pelicans,82,30,52,48.2,39.2,83.9,46.8,9.2,24.9,36.9,18.8,24.0,78.3,8.9,35.5,44.4,23.2,13.7,7.3,5.2,4.2,19.9,20.9,106.5,3.8,2015
Minnesota Timberwolves,82,29,53,48.5,40.0,84.9,47.1,9.0,25.5,35.5,17.0,22.5,75.7,10.7,31.2,41.9,22.6,14.9,7.8,5.2,4.6,21.6,20.7,106.0,3.5,2015
Phoenix Suns,82,23,59,48.1,39.1,83.8,46.7,9.4,24.9,37.7,19.9,26.5,74.9,9.9,33.8,43.7,22.4,14.9,9.5,5.5,3.8,21.6,22.7,107.5,6.7,2015
Brooklyn Nets,82,21,61,48.2,40.8,85.2,47.9,9.5,25.6,36.9,15.0,19.6,76.3,10.2,33.2,43.4,24.5,14.2,8.8,5.2,4.0,18.4,18.0,106.0,7.4,2015
Los Angeles Lakers,82,17,65,48.1,40.5,85.6,47.3,8.5,24.6,34.7,17.3,23.7,73.1,10.9,35.5,46.5,24.7,12.6,7.5,5.6,4.1,19.2,20.3,106.9,9.6,2015
Philadelphia 76ers,82,10,72,48.3,39.7,85.4,46.4,7.8,21.7,35.9,20.5,26.1,78.6,11.1,36.4,47.6,23.4,15.1,8.7,5.7,6.0,19.2,21.7,107.6,10.2,2015
Golden State Warriors,82,67,15,48.1,37.0,86.4,42.8,7.2,21.4,33.7,18.7,24.5,76.3,11.7,32.8,44.5,21.0,16.2,8.3,3.6,6.0,18.8,19.9,99.9,-10.1,2014
Atlanta Hawks,82,60,22,48.1,36.5,83.1,43.9,8.8,25.8,34.1,15.4,20.1,76.4,11.6,32.1,43.6,23.5,16.1,7.4,4.9,4.6,19.6,17.8,97.1,-5.4,2014
Houston Rockets,82,56,26,48.3,37.7,85.2,44.3,7.4,22.9,32.2,17.7,23.6,75.1,11.9,32.0,43.8,21.4,16.4,8.9,5.3,5.0,21.1,22.0,100.5,-3.4,2014
Los Angeles Clippers,82,56,26,48.1,36.4,82.3,44.2,8.3,23.9,34.9,19.0,25.7,74.1,10.6,32.3,42.9,23.2,14.3,6.7,3.0,5.0,21.5,21.3,100.1,-6.6,2014
Memphis Grizzlies,82,55,27,48.5,36.0,81.5,44.2,8.1,23.0,35.1,14.9,20.1,74.2,10.5,31.9,42.4,20.1,15.3,7.4,5.2,4.2,20.3,19.1,95.1,-3.2,2014
San Antonio Spurs,82,55,27,48.7,37.1,83.7,44.4,6.8,18.9,36.0,15.9,21.4,74.5,9.9,32.2,42.1,20.7,14.2,7.9,4.4,5.4,19.7,19.1,97.0,-6.2,2014
Cleveland Cavaliers,82,53,29,48.2,38.1,83.5,45.6,7.7,22.5,34.3,14.8,19.9,74.5,10.8,30.3,41.1,24.1,13.3,7.8,4.5,4.1,20.5,18.4,98.7,-4.5,2014
Portland Trail Blazers,82,51,31,48.4,38.2,86.9,43.9,6.4,18.9,33.8,15.8,20.9,75.8,11.0,33.6,44.6,20.4,12.2,8.0,3.6,4.5,18.7,18.2,98.6,-4.2,2014
Chicago Bulls,82,50,32,48.5,37.7,86.7,43.5,6.6,19.6,33.5,15.7,21.0,74.9,11.7,31.7,43.4,20.2,12.2,7.5,5.4,5.8,21.2,18.2,97.8,-3.0,2014
Dallas Mavericks,82,50,32,48.5,38.0,84.5,45.0,9.0,24.8,36.4,17.3,22.9,75.3,12.3,33.9,46.1,22.3,16.3,7.3,3.8,4.5,22.1,20.0,102.3,-2.9,2014
Toronto Raptors,82,49,33,48.4,38.0,82.8,45.9,7.7,22.3,34.6,17.2,23.5,73.3,11.2,31.2,42.5,22.8,14.4,6.9,5.0,4.4,20.3,20.9,100.9,-3.1,2014
Washington Wizards,82,46,36,48.7,36.2,83.5,43.3,8.0,23.0,34.9,17.5,23.7,73.8,10.0,31.7,41.7,19.9,14.0,8.0,4.3,4.6,19.6,20.8,97.8,-0.7,2014
New Orleans Pelicans,82,45,37,48.2,37.9,83.1,45.6,6.5,19.6,33.5,16.2,21.4,75.9,10.6,30.9,41.5,20.7,12.2,6.8,5.8,6.2,18.7,18.7,98.6,-0.8,2014
Oklahoma City Thunder,82,45,37,48.4,37.6,85.5,44.0,8.3,24.2,34.3,18.2,24.5,74.5,11.2,31.5,42.7,22.1,13.6,7.8,4.6,5.5,20.4,22.3,101.8,-2.2,2014
Milwaukee Bucks,82,41,41,48.6,35.6,81.5,43.7,8.2,24.1,34.2,18.0,24.3,74.2,11.4,31.4,42.9,22.3,17.4,8.6,4.8,4.9,20.1,22.1,97.4,-0.4,2014
Boston Celtics,82,40,42,48.5,38.1,84.7,45.0,7.4,22.0,33.6,17.6,23.3,75.5,10.9,33.8,44.7,21.9,15.1,7.1,5.3,3.6,18.8,21.2,101.2,-0.2,2014
Phoenix Suns,82,39,43,48.5,38.4,85.0,45.2,7.7,21.9,35.2,18.8,24.8,75.9,11.6,33.7,45.3,21.1,15.6,7.9,4.1,4.7,20.3,21.3,103.3,0.9,2014
Brooklyn Nets,82,38,44,48.6,38.4,84.3,45.6,8.5,23.7,35.8,15.6,21.3,73.1,11.4,32.9,44.3,23.7,13.9,7.8,4.5,4.1,20.0,19.3,100.9,2.9,2014
Indiana Pacers,82,38,44,48.4,36.0,82.7,43.5,7.2,20.9,34.5,17.9,23.8,75.3,9.8,33.0,42.7,19.9,12.7,7.5,4.7,4.6,21.4,21.2,97.0,-0.3,2014
Utah Jazz,82,38,44,48.1,35.8,80.3,44.6,7.4,20.4,36.2,16.0,21.5,74.4,9.9,29.3,39.2,19.4,13.1,8.2,4.7,6.0,19.6,19.3,94.9,-0.2,2014
Miami Heat,82,37,45,48.1,36.1,79.5,45.4,8.1,23.0,35.3,17.0,23.2,73.0,10.9,30.1,41.0,21.3,14.8,7.9,4.4,4.5,20.9,20.0,97.3,2.6,2014
Charlotte Hornets,82,33,49,48.5,36.8,83.7,44.0,7.9,22.1,35.7,15.8,20.4,77.2,8.9,35.2,44.1,22.1,12.6,6.1,5.4,5.5,20.8,18.2,97.3,3.2,2014
Detroit Pistons,82,32,50,48.4,37.9,83.1,45.6,7.7,21.8,35.5,16.0,20.7,77.2,10.7,33.4,44.1,23.8,14.0,7.0,4.8,4.7,19.3,19.0,99.5,1.0,2014
Denver Nuggets,82,30,52,48.5,38.6,84.3,45.8,7.7,22.2,34.6,20.1,26.9,74.8,11.0,34.1,45.1,23.1,14.4,7.5,6.1,4.5,20.7,23.0,105.0,3.5,2014
Sacramento Kings,82,29,53,48.4,39.5,86.5,45.6,8.8,25.1,34.9,17.3,23.1,74.8,11.0,30.2,41.2,23.3,12.9,8.7,6.2,4.0,23.9,20.7,105.0,3.7,2014
Orlando Magic,82,25,57,48.2,38.0,82.0,46.3,8.3,22.6,36.8,17.2,22.9,75.1,10.1,33.4,43.5,23.4,14.5,7.7,5.4,3.8,17.9,20.9,101.4,5.7,2014
Los Angeles Lakers,82,21,61,48.6,38.8,83.1,46.6,8.5,23.4,36.3,19.2,25.8,74.5,10.0,34.1,44.2,24.0,13.0,7.5,4.8,4.5,19.4,21.2,105.3,6.8,2014
Philadelphia 76ers,82,18,64,48.3,37.1,82.7,44.9,8.0,22.9,35.0,18.7,24.7,75.6,11.5,34.8,46.3,23.7,16.8,9.5,5.5,5.9,20.2,21.7,101.0,9.0,2014
New York Knicks,82,17,65,48.4,37.0,80.4,46.0,8.5,22.3,38.0,18.8,24.8,75.9,11.0,32.5,43.5,21.7,14.1,8.0,4.3,4.7,19.1,21.6,101.2,9.3,2014
Minnesota Timberwolves,82,16,66,48.3,41.1,84.5,48.7,8.5,23.1,36.7,15.8,20.8,75.9,11.6,31.9,43.6,23.6,15.2,8.4,5.5,4.0,21.4,19.2,106.5,8.8,2014
San Antonio Spurs,82,62,20,48.2,37.8,85.1,44.4,6.5,18.3,35.3,15.7,20.6,76.0,10.5,31.7,42.2,20.4,13.9,7.7,4.6,5.1,19.3,18.2,97.6,-7.7,2013
Oklahoma City Thunder,82,59,23,48.3,36.4,83.4,43.6,8.6,24.0,35.8,18.4,25.4,72.7,11.0,30.0,40.9,21.8,15.2,8.2,3.6,6.1,20.4,22.7,99.8,-6.3,2013
Los Angeles Clippers,82,57,25,48.2,37.4,84.9,44.1,7.3,21.8,33.2,18.9,25.0,75.5,12.3,31.4,43.7,23.3,15.4,7.0,3.5,4.8,23.4,21.5,101.0,-7.0,2013
Indiana Pacers,82,56,26,48.2,34.8,82.7,42.0,6.6,19.0,34.5,16.3,21.6,75.5,10.4,30.7,41.2,18.6,13.7,7.2,4.6,5.4,21.9,20.4,92.3,-4.4,2013
Houston Rockets,82,54,28,48.4,39.0,88.0,44.3,8.1,23.0,35.3,17.0,22.5,75.7,11.9,29.7,41.7,22.2,14.0,8.6,5.6,5.6,24.3,20.4,103.1,-4.6,2013
Miami Heat,82,54,28,48.5,36.1,79.0,45.7,8.5,23.4,36.2,16.8,22.3,75.0,10.8,29.5,40.3,21.4,16.7,8.1,3.1,4.5,20.4,19.5,97.4,-4.8,2013
Portland Trail Blazers,82,54,28,48.4,39.6,87.8,45.1,6.5,18.3,35.5,17.0,22.2,76.6,11.5,32.0,43.5,20.4,12.0,7.8,3.7,4.7,20.7,19.2,102.8,-4.0,2013
Golden State Warriors,82,51,31,48.4,36.8,84.4,43.6,6.9,20.2,34.4,18.9,24.7,76.5,10.7,32.6,43.3,20.5,15.0,7.9,4.2,5.0,19.3,21.8,99.5,-4.8,2013
Memphis Grizzlies,82,50,32,48.3,35.7,79.3,45.0,7.5,21.1,35.5,15.8,20.6,76.6,9.9,29.3,39.2,19.9,14.2,7.2,5.0,4.6,18.9,19.1,94.6,-1.6,2013
Dallas Mavericks,82,49,33,48.4,37.8,81.4,46.4,8.3,23.0,35.9,18.7,24.6,75.8,11.5,31.3,42.8,22.0,16.0,7.7,3.5,4.3,19.9,20.0,102.4,-2.4,2013
Chicago Bulls,82,48,34,48.6,35.0,81.2,43.0,6.6,18.7,35.1,15.3,20.3,75.3,10.7,30.6,41.3,19.6,14.4,7.6,6.0,5.2,20.9,19.1,91.8,-1.9,2013
Phoenix Suns,82,48,34,48.2,38.0,83.4,45.6,6.8,19.9,34.1,19.8,25.8,76.6,11.3,31.5,42.8,20.3,15.3,7.5,4.0,4.6,21.3,21.9,102.6,-2.6,2013
Toronto Raptors,82,48,34,48.7,36.1,80.2,45.0,6.9,19.2,36.0,19.0,25.3,75.2,10.4,30.5,41.0,21.0,14.9,7.3,4.3,4.2,22.1,23.0,98.0,-3.2,2013
Brooklyn Nets,82,44,38,48.5,36.3,79.4,45.8,8.1,22.0,36.7,18.8,24.7,76.0,11.2,31.6,42.9,21.0,15.8,7.4,4.1,3.8,20.8,21.7,99.5,1.0,2013
Washington Wizards,82,44,38,48.9,37.0,80.9,45.8,7.5,21.5,34.7,17.8,23.3,76.5,10.1,32.1,42.2,22.2,16.0,7.7,3.9,4.6,19.5,20.4,99.4,-1.3,2013
Charlotte Bobcats,82,43,39,48.5,36.9,83.4,44.2,8.1,22.0,36.9,15.3,20.1,75.9,9.6,33.7,43.3,21.0,13.3,6.3,5.1,5.1,20.9,18.2,97.1,0.2,2013
Minnesota Timberwolves,82,40,42,48.4,40.5,86.0,47.1,8.1,22.2,36.4,15.2,20.1,75.6,11.1,33.1,44.2,22.9,16.4,7.9,5.6,3.6,23.6,18.3,104.3,-2.7,2013
Atlanta Hawks,82,38,44,48.4,38.6,83.5,46.2,8.0,21.9,36.5,16.4,21.9,74.8,10.8,32.8,43.5,23.2,15.2,8.2,4.3,4.0,20.0,19.2,101.5,0.5,2013
New York Knicks,82,37,45,48.4,35.8,78.1,45.8,8.7,23.4,37.1,19.1,25.0,76.5,10.3,31.7,42.0,19.7,14.5,6.3,3.4,4.5,19.6,22.1,99.4,0.8,2013
Denver Nuggets,82,36,46,48.2,39.5,86.4,45.7,7.4,21.0,35.1,20.2,26.4,76.3,11.3,32.5,43.8,22.5,14.4,8.5,5.6,5.6,21.7,23.0,106.5,2.1,2013
New Orleans Pelicans,82,34,48,48.4,37.3,80.1,46.5,8.0,22.3,35.7,20.0,26.5,75.2,10.7,31.0,41.7,22.5,14.5,7.0,6.1,6.4,20.3,22.6,102.4,2.7,2013
Cleveland Cavaliers,82,33,49,48.6,37.8,83.5,45.2,9.3,25.4,36.7,16.6,22.0,75.7,10.3,32.3,42.5,24.8,14.0,7.2,5.6,3.7,19.5,20.0,101.5,3.3,2013
Detroit Pistons,82,29,53,48.2,39.1,83.2,47.0,8.3,22.8,36.5,18.1,24.0,75.6,11.1,31.9,43.0,24.4,15.0,8.2,4.9,4.8,20.7,20.3,104.7,3.7,2013
Sacramento Kings,82,28,54,48.4,37.8,82.1,46.1,8.5,22.4,38.0,19.2,26.1,73.7,9.9,31.3,41.2,23.5,13.6,7.8,5.6,3.9,23.1,22.5,103.4,2.9,2013
Los Angeles Lakers,82,27,55,48.1,42.0,89.6,46.8,8.1,22.5,36.1,17.2,23.7,72.7,13.0,36.0,49.0,25.8,14.2,9.6,4.7,5.4,19.3,19.8,109.2,6.3,2013
Boston Celtics,82,25,57,48.1,37.8,81.4,46.5,6.6,18.9,34.7,18.5,24.3,76.1,10.6,31.7,42.3,22.1,14.2,7.4,4.5,4.2,19.1,21.3,100.7,4.5,2013
Utah Jazz,82,25,57,48.2,38.3,81.0,47.3,7.3,19.4,37.6,18.3,23.7,77.3,10.3,32.2,42.5,21.8,12.6,7.5,4.9,4.5,20.4,20.7,102.2,7.2,2013
Orlando Magic,82,23,59,48.7,38.1,83.7,45.6,8.0,21.7,37.1,17.7,22.9,77.0,10.5,33.5,44.0,22.5,14.0,7.1,5.4,4.3,18.3,20.5,102.0,5.4,2013
Philadelphia 76ers,82,19,63,48.4,40.0,85.1,47.1,9.0,24.4,37.0,20.8,27.6,75.4,11.9,35.0,46.9,26.1,17.0,9.0,6.8,4.0,20.6,22.5,109.9,10.5,2013
Milwaukee Bucks,82,15,67,48.5,38.4,82.0,46.8,8.5,22.3,38.2,18.4,24.5,75.1,11.7,31.8,43.5,22.8,14.1,7.8,5.0,4.9,20.6,20.9,103.7,8.2,2013
Miami Heat,82,66,16,48.5,35.6,80.9,44.0,7.6,21.7,35.0,16.2,21.2,76.6,11.2,28.9,40.1,20.2,15.6,7.9,3.2,5.4,20.4,18.7,95.0,-7.9,2012
Oklahoma City Thunder,82,60,22,48.4,36.2,85.0,42.5,7.4,21.5,34.6,16.7,21.6,77.4,12.0,28.7,40.7,20.5,14.8,8.2,3.9,7.6,20.7,20.2,96.5,-9.2,2012
San Antonio Spurs,82,58,24,48.5,37.5,84.9,44.2,6.3,17.9,35.3,15.2,20.0,76.0,11.1,31.4,42.5,21.4,14.9,8.2,4.9,5.4,19.1,17.4,96.6,-6.4,2012
Denver Nuggets,82,57,25,48.5,38.1,85.7,44.4,8.4,23.1,36.3,16.6,22.7,73.1,12.4,29.2,41.6,23.6,15.9,8.0,6.8,6.5,21.6,20.5,101.1,-5.1,2012
Los Angeles Clippers,82,56,26,48.1,34.6,78.0,44.3,7.6,20.5,37.3,17.9,23.9,74.9,10.9,28.2,39.1,22.1,16.1,7.4,4.1,5.6,20.9,20.9,94.6,-6.5,2012
Memphis Grizzlies,82,56,26,48.3,33.5,77.0,43.5,6.1,18.2,33.8,16.1,21.5,74.8,10.3,28.8,39.1,19.5,15.5,7.3,5.5,5.3,20.0,20.2,89.3,-4.1,2012
New York Knicks,82,54,28,48.1,35.6,77.6,45.8,7.8,21.8,35.7,16.8,22.2,75.7,10.0,31.6,41.6,19.3,15.1,6.4,4.0,3.6,19.2,20.1,95.7,-4.2,2012
Brooklyn Nets,82,49,33,48.4,37.4,80.7,46.4,6.3,17.3,36.6,14.0,19.2,73.1,10.7,28.5,39.2,21.4,13.4,7.5,4.8,4.8,21.4,18.3,95.1,-1.8,2012
Indiana Pacers,81,49,32,48.4,34.5,82.2,42.0,5.4,16.6,32.7,16.2,21.3,76.0,11.2,29.6,40.9,19.2,13.5,7.5,5.7,6.3,21.9,20.0,90.7,-4.0,2012
Golden State Warriors,82,47,35,48.3,37.2,84.8,43.9,8.0,23.1,34.7,17.9,23.9,74.8,11.1,31.7,42.7,23.5,13.5,8.2,4.9,4.2,19.2,21.4,100.3,-0.9,2012
Chicago Bulls,82,45,37,48.4,35.4,80.1,44.3,5.5,16.0,34.6,16.5,22.3,73.9,11.0,30.1,41.1,18.8,13.7,7.3,5.8,5.1,19.6,19.7,92.9,-0.3,2012
Houston Rockets,82,45,37,48.2,38.8,85.5,45.4,8.1,21.9,36.8,16.8,21.6,77.6,10.7,31.0,41.6,22.7,14.8,8.5,6.1,4.4,20.4,20.3,102.5,-3.5,2012
Los Angeles Lakers,82,45,37,48.2,39.7,87.6,45.3,7.5,21.0,35.7,14.2,19.4,73.2,11.5,31.1,42.7,23.4,12.9,8.5,4.8,5.2,23.1,17.9,101.0,-1.2,2012
Atlanta Hawks,82,44,38,48.4,37.5,83.2,45.0,7.6,19.9,37.9,15.0,19.7,76.3,11.3,32.4,43.7,22.3,15.2,8.4,4.3,4.5,18.8,18.0,97.5,-0.4,2012
Utah Jazz,82,43,39,48.5,36.6,79.9,45.8,6.8,18.5,37.0,18.0,23.8,75.7,11.0,29.8,40.8,20.6,14.7,7.8,5.9,6.3,20.4,21.3,98.1,0.1,2012
Boston Celtics,81,41,40,49.0,36.1,82.0,44.1,6.8,19.9,34.2,17.7,23.9,74.0,11.4,32.1,43.6,21.6,15.3,7.8,4.7,4.5,19.4,21.2,96.7,0.2,2012
Dallas Mavericks,82,41,41,48.7,37.4,84.0,44.5,7.8,21.8,35.9,19.1,25.4,75.3,12.0,33.6,45.6,22.0,14.7,8.5,4.1,5.5,18.9,20.7,101.7,0.6,2012
Milwaukee Bucks,82,38,44,48.4,38.4,84.7,45.4,6.5,18.5,34.8,17.0,22.5,75.9,12.4,33.6,46.0,23.1,16.0,8.0,4.4,6.7,19.1,19.0,100.4,1.5,2012
Philadelphia 76ers,82,34,48,48.2,36.8,81.0,45.4,6.7,19.2,34.9,16.2,21.4,76.0,11.0,33.0,44.0,22.8,14.3,7.2,4.8,4.7,16.2,18.4,96.5,3.3,2012
Toronto Raptors,82,34,48,48.7,36.2,79.2,45.8,6.7,18.4,36.1,19.6,26.2,74.7,10.7,31.0,41.7,21.9,14.3,7.0,4.7,4.8,20.1,22.4,98.7,1.5,2012
Portland Trail Blazers,82,33,49,48.4,39.3,83.0,47.4,6.4,18.7,34.0,15.7,20.6,76.1,11.0,31.4,42.4,23.7,13.1,8.4,4.4,4.3,18.7,18.5,100.7,3.2,2012
Minnesota Timberwolves,82,31,51,48.1,38.0,81.2,46.8,7.0,19.0,36.9,15.2,20.1,75.2,10.6,31.5,42.1,22.3,15.9,8.1,5.9,4.7,22.5,18.4,98.1,2.4,2012
Detroit Pistons,82,29,53,48.3,37.3,81.2,45.9,7.4,20.4,36.0,16.9,22.2,76.2,11.1,30.7,41.8,22.4,13.7,8.4,5.8,4.9,19.9,19.8,98.8,4.0,2012
Washington Wizards,82,29,53,48.4,35.9,81.7,44.0,7.1,20.5,34.9,16.8,22.8,73.8,11.0,33.2,44.2,21.5,14.5,7.8,4.4,4.6,19.1,20.5,95.8,2.5,2012
Sacramento Kings,82,28,54,48.4,39.3,83.3,47.2,7.6,21.5,35.5,18.9,24.1,78.3,11.9,31.7,43.6,25.1,14.7,7.6,6.3,4.2,20.0,20.9,105.1,4.9,2012
New Orleans Hornets,82,27,55,48.2,37.0,78.5,47.1,7.7,20.6,37.4,16.3,21.5,75.9,10.2,29.2,39.3,23.4,13.2,7.9,6.0,5.4,18.7,20.4,97.9,3.9,2012
Phoenix Suns,82,25,57,48.3,38.8,82.6,47.0,6.9,17.9,38.8,17.1,22.6,75.7,11.7,31.7,43.4,22.8,15.3,8.3,5.1,5.3,18.4,20.6,101.6,6.5,2012
Cleveland Cavaliers,82,24,58,48.1,37.9,79.6,47.6,7.4,20.0,37.2,17.9,24.2,73.9,10.8,31.3,42.1,23.9,15.2,7.6,6.8,4.1,19.7,21.2,101.2,4.7,2012
Charlotte Bobcats,82,21,61,48.3,38.8,82.5,47.1,8.7,22.5,38.8,16.2,21.8,74.7,11.8,32.3,44.1,25.3,14.0,6.9,6.9,5.8,21.3,19.0,102.7,9.2,2012
Orlando Magic,82,20,62,48.2,38.6,83.4,46.3,7.5,21.0,35.9,16.3,22.1,73.8,10.8,31.9,42.8,23.7,12.4,7.2,5.2,4.4,16.5,19.4,101.1,7.0,2012
Chicago Bulls,66,50,16,48.3,34.6,82.1,42.1,4.6,14.2,32.5,14.3,19.4,74.0,11.4,28.6,40.0,18.9,13.3,7.4,5.2,5.9,17.7,17.3,88.2,-8.2,2011
San Antonio Spurs,66,50,16,48.3,38.1,84.2,45.2,6.2,17.7,35.3,14.1,18.7,75.6,10.3,30.9,41.2,19.6,13.7,7.4,5.0,4.4,18.8,17.3,96.5,-7.2,2011
Oklahoma City Thunder,66,47,19,48.5,36.4,85.3,42.7,6.4,18.7,34.2,17.7,23.0,76.8,12.7,28.6,41.3,19.9,14.2,8.2,4.9,8.2,20.0,20.5,96.9,-6.1,2011
Miami Heat,66,46,20,48.6,34.6,79.8,43.4,7.3,20.0,36.3,16.0,22.1,72.5,11.0,28.7,39.8,19.7,16.8,8.3,4.2,5.4,20.5,19.4,92.5,-6.0,2011
Indiana Pacers,66,42,24,48.5,34.9,80.4,43.5,6.7,19.1,35.1,17.9,24.5,72.9,12.0,30.3,42.3,19.6,14.9,6.6,6.0,5.4,21.6,21.7,94.4,-3.3,2011
Los Angeles Lakers,66,41,25,48.7,37.8,86.4,43.7,6.7,19.3,34.8,13.7,18.4,74.2,11.5,29.5,41.0,21.9,11.3,8.4,4.6,5.3,20.2,16.8,95.9,-1.4,2011
Memphis Grizzlies,66,41,25,48.3,34.5,77.8,44.4,6.3,18.3,34.5,17.6,23.1,76.4,11.0,29.6,40.7,19.3,17.1,7.8,5.5,5.2,19.3,19.9,93.0,-2.0,2011
Atlanta Hawks,66,40,26,49.0,36.1,81.3,44.4,5.9,17.2,34.4,15.1,20.1,75.3,10.8,31.5,42.3,20.5,15.1,7.5,4.7,4.6,19.1,17.8,93.2,-3.4,2011
Los Angeles Clippers,66,40,26,48.4,34.5,77.2,44.7,7.0,19.1,36.5,19.0,25.4,74.6,10.8,29.0,39.8,20.7,14.6,6.0,4.5,4.8,21.2,21.2,95.0,-2.6,2011
Boston Celtics,66,39,27,48.3,33.4,79.7,41.9,5.2,16.9,30.8,17.2,22.7,76.0,11.8,31.4,43.2,18.7,15.7,7.8,4.6,5.5,18.4,19.9,89.3,-2.5,2011
Denver Nuggets,66,38,28,48.6,38.5,84.4,45.6,8.7,22.6,38.3,15.6,20.5,75.9,11.1,29.2,40.3,23.2,15.6,7.9,6.7,5.0,22.0,19.7,101.2,-2.9,2011
Orlando Magic,66,37,29,48.4,35.9,80.1,44.9,6.3,18.1,34.7,15.2,19.7,77.2,10.1,31.2,41.3,20.5,13.1,7.5,4.1,4.2,19.8,17.7,93.4,-0.8,2011
Dallas Mavericks,66,36,30,48.7,35.6,81.7,43.5,7.2,20.7,34.6,16.5,22.1,75.0,11.0,32.9,43.9,20.5,14.7,8.5,4.0,5.1,18.4,18.6,94.8,-1.0,2011
New York Knicks,66,36,30,48.3,35.1,79.4,44.2,6.7,18.8,35.9,17.7,24.1,73.6,10.9,31.0,41.8,18.9,17.0,8.1,5.1,4.2,21.8,21.1,94.7,-3.2,2011
Utah Jazz,66,36,30,49.0,36.4,80.5,45.3,6.5,19.1,34.0,19.7,26.2,75.4,11.0,30.1,41.2,20.5,14.7,7.5,5.7,5.8,20.7,21.8,99.0,-0.6,2011
Philadelphia 76ers,66,35,31,48.2,34.3,80.3,42.7,5.4,16.2,33.4,15.4,20.5,75.2,10.7,33.0,43.7,19.6,13.9,5.9,4.8,5.2,16.2,17.5,89.4,-4.2,2011
Houston Rockets,66,34,32,48.7,37.5,82.2,45.6,5.6,17.2,32.5,17.3,22.6,76.6,11.0,30.7,41.8,20.0,14.7,7.5,5.2,4.8,18.4,20.4,97.9,-0.2,2011
Phoenix Suns,66,33,33,48.0,38.0,83.5,45.5,6.0,17.1,35.2,16.7,21.9,76.2,12.2,31.3,43.4,21.5,14.1,8.0,4.4,5.5,19.6,18.7,98.6,0.2,2011
Milwaukee Bucks,66,31,35,48.1,37.1,82.6,44.9,6.6,18.9,35.1,17.9,23.3,76.9,12.3,32.4,44.7,21.7,15.9,7.6,4.5,5.1,19.4,19.3,98.7,-0.3,2011
