TEAM,GP,W,L,MIN,"OPP
FGM","OPP
FGA","OPP
FG%","OPP
3PM","OPP
3PA","OPP
3P%","OPP
FTM","OPP
FTA","OPP
FT%","OPP
OREB","OPP
DREB","OPP
REB","OPP
AST","OPP
TOV","OPP
STL","OPP
BLK","OPP
BLKA","OPP
PF","OPP
PFD","OPP
PTS",+/-,Season
Indiana Pacers,82,35,47,48.2,43.3,89.3,48.5,12.4,33.3,37.3,20.5,25.6,80.0,12.1,33.2,45.3,26.4,15.1,7.9,5.3,5.8,20.2,21.2,119.5,3.2,2022
Washington Wizards,82,35,47,48.2,42.5,89.8,47.3,12.0,32.8,36.6,17.5,21.9,79.8,10.8,32.3,43.0,24.8,12.3,7.1,5.0,5.2,19.4,18.8,114.4,1.2,2022
Orlando Magic,82,34,48,48.2,41.3,86.9,47.6,13.0,37.0,35.1,18.3,23.0,79.6,9.5,32.5,42.0,25.9,14.7,7.7,5.1,4.7,20.5,20.1,114.0,2.6,2022
Portland Trail Blazers,82,33,49,48.1,43.0,87.5,49.1,12.5,33.1,37.9,19.0,24.1,78.7,10.5,32.8,43.2,27.0,13.5,7.8,4.3,4.6,20.5,20.0,117.4,4.0,2022
Charlotte Hornets,82,27,55,48.4,43.0,90.1,47.7,12.2,34.3,35.7,19.0,24.0,79.5,10.9,35.3,46.2,25.9,14.4,7.0,5.7,5.2,20.3,20.3,117.2,6.2,2022
Houston Rockets,82,22,60,48.2,42.4,88.1,48.2,14.5,38.8,37.4,19.2,24.2,79.4,10.5,31.0,41.5,26.1,13.2,8.8,6.2,4.6,20.6,20.5,118.6,7.9,2022
San Antonio Spurs,82,22,60,48.4,46.1,91.0,50.7,12.6,32.3,39.1,18.2,23.7,77.0,10.7,34.3,45.0,26.8,13.8,8.1,5.3,3.9,18.5,19.9,123.1,10.0,2022
Detroit Pistons,82,17,65,48.3,43.1,88.1,48.9,12.0,33.3,36.0,20.4,26.2,77.7,11.0,33.7,44.7,25.8,13.5,7.7,5.5,3.8,21.0,22.1,118.5,8.2,2022
Phoenix Suns,82,64,18,48.1,39.2,88.3,44.4,11.6,34.2,34.0,17.3,22.7,76.1,10.5,33.9,44.5,22.9,14.7,7.5,4.0,4.4,18.9,19.9,107.3,-7.5,2021
Memphis Grizzlies,82,56,26,48.2,40.3,88.6,45.5,12.0,34.5,34.9,17.3,22.4,77.1,10.0,33.0,43.0,25.0,15.1,7.2,6.0,6.5,19.8,19.8,109.9,-5.7,2021
Golden State Warriors,82,53,29,48.1,37.9,86.6,43.8,12.2,36.0,33.9,17.4,22.9,75.9,9.7,33.0,42.6,22.9,14.5,7.9,3.9,4.5,18.0,21.0,105.5,-5.5,2021
Miami Heat,82,53,29,48.4,37.5,84.0,44.7,13.0,38.3,33.9,17.5,22.5,77.9,9.5,32.1,41.7,23.3,15.0,7.4,4.0,3.2,20.6,20.5,105.6,-4.5,2021
Dallas Mavericks,82,52,30,48.2,39.0,85.4,45.7,10.9,32.1,34.0,15.8,20.6,76.7,9.5,34.1,43.6,23.5,13.1,7.0,3.7,4.0,20.1,19.7,104.7,-3.3,2021
Boston Celtics,82,51,31,48.5,38.3,88.1,43.4,11.8,34.9,33.9,16.1,20.6,78.3,10.5,33.3,43.7,21.6,13.8,7.5,4.6,5.8,19.4,18.5,104.5,-7.3,2021
Milwaukee Bucks,82,51,31,48.2,41.4,90.6,45.6,14.5,40.6,35.6,15.0,19.9,75.1,9.9,34.2,44.1,25.9,13.0,7.4,4.4,4.0,19.7,18.2,112.1,-3.4,2021
Philadelphia 76ers,82,51,31,48.3,39.7,86.5,45.8,11.4,32.8,34.6,16.6,21.6,76.9,10.2,34.0,44.2,23.6,13.3,6.6,4.6,5.3,19.4,19.4,107.3,-2.6,2021
Utah Jazz,82,49,33,48.1,40.4,89.2,45.3,12.1,34.6,35.0,14.6,19.3,75.8,9.9,31.7,41.6,23.4,12.0,7.8,4.3,4.9,20.3,18.9,107.6,-6.0,2021
Denver Nuggets,82,48,34,48.3,41.1,87.4,47.0,11.8,34.2,34.6,16.5,21.7,75.7,9.7,32.7,42.4,25.4,12.8,7.9,4.8,3.7,19.9,20.0,110.4,-2.3,2021
Toronto Raptors,82,48,34,48.4,39.0,84.4,46.2,12.4,34.9,35.4,16.8,21.2,78.9,10.3,33.7,44.0,25.3,15.8,6.7,5.1,4.6,19.1,19.6,107.1,-2.3,2021
Chicago Bulls,82,46,36,48.1,41.4,87.4,47.4,11.7,32.0,36.6,17.4,21.9,79.5,9.3,33.9,43.2,25.0,13.1,7.1,5.0,4.1,18.2,18.8,112.0,0.4,2021
Minnesota Timberwolves,82,46,36,48.2,40.2,87.4,46.0,13.1,37.3,35.0,19.8,25.4,78.0,11.0,34.9,45.9,26.2,16.3,7.2,4.8,5.6,20.9,21.8,113.3,-2.6,2021
Brooklyn Nets,82,44,38,48.2,40.7,90.2,45.2,12.5,36.3,34.5,18.1,23.0,78.8,11.3,32.8,44.1,23.8,13.3,7.9,4.9,5.5,19.7,20.4,112.1,-0.8,2021
Cleveland Cavaliers,82,44,38,48.1,39.5,87.2,45.2,11.7,33.2,35.3,15.0,19.4,77.4,10.5,32.4,42.9,24.1,13.4,8.4,4.6,4.2,20.0,17.5,105.7,-2.1,2021
Atlanta Hawks,82,43,39,48.1,41.9,89.0,47.1,12.8,35.2,36.4,15.8,19.9,79.2,10.2,33.6,43.9,25.4,12.8,7.0,4.5,4.2,20.3,18.7,112.4,-1.6,2021
Charlotte Hornets,82,43,39,48.5,42.0,90.1,46.6,14.0,38.7,36.2,16.9,22.1,76.3,11.4,35.6,47.0,26.5,15.0,7.5,4.6,4.9,19.6,19.9,114.9,-0.4,2021
LA Clippers,82,42,40,48.2,40.8,90.6,45.0,11.7,33.9,34.5,15.2,19.6,77.5,12.0,35.1,47.1,24.1,13.6,7.7,4.1,5.0,18.5,18.6,108.4,0.0,2021
New York Knicks,82,37,45,48.2,38.5,86.0,44.7,12.7,37.0,34.2,17.0,22.3,76.4,9.3,34.3,43.6,24.2,12.7,7.0,4.6,4.9,20.4,20.4,106.6,0.1,2021
New Orleans Pelicans,82,36,46,48.2,40.3,85.5,47.1,13.0,35.5,36.5,16.8,21.4,78.6,9.3,32.5,41.8,24.9,14.2,7.4,4.8,4.0,20.5,19.7,110.3,1.0,2021
Washington Wizards,82,35,47,48.4,41.3,88.9,46.4,11.5,31.8,36.1,18.0,22.3,80.7,10.2,34.0,44.2,23.7,11.9,7.3,4.2,5.0,19.9,18.8,112.0,3.4,2021
San Antonio Spurs,82,34,48,48.3,42.5,91.2,46.6,12.1,33.6,36.0,16.0,20.9,76.7,11.4,35.4,46.8,24.0,13.8,7.3,4.9,4.9,18.9,18.1,113.0,-0.1,2021
Los Angeles Lakers,82,33,49,48.7,42.6,90.5,47.0,12.6,35.8,35.2,17.4,23.3,74.7,11.0,35.6,46.6,26.3,14.0,8.3,4.1,5.2,20.1,20.2,115.1,3.0,2021
Sacramento Kings,82,30,52,48.3,43.4,90.6,47.9,13.0,34.9,37.2,15.9,20.5,77.6,10.6,35.3,45.8,25.3,13.5,8.1,4.8,4.5,20.3,18.9,115.8,5.5,2021
